{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.0026553208939923, 'speedup_best': 1.04066985645933, 'xsmm_local_avg': 6.096249999999998, 'xsmm_local_best': 5.852, 'xsmm_upstream_avg': 6.112437499999999, 'xsmm_upstream_best': 6.09}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0179977438399384, 'speedup_best': 1.0101596516690856, 'xsmm_local_avg': 3.6381875000000012, 'xsmm_local_best': 3.445, 'xsmm_upstream_avg': 3.703666666666667, 'xsmm_upstream_best': 3.48}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9940841385952964, 'speedup_best': 1.0035655920368445, 'xsmm_local_avg': 7.310854166666665, 'xsmm_local_best': 6.731, 'xsmm_upstream_avg': 7.267604166666666, 'xsmm_upstream_best': 6.755}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9936107932162838, 'speedup_best': 0.9948021946289344, 'xsmm_local_avg': 3.622645833333334, 'xsmm_local_best': 3.463, 'xsmm_upstream_avg': 3.599499999999999, 'xsmm_upstream_best': 3.445}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9998323651565851, 'speedup_best': 1.0523759972251128, 'xsmm_local_avg': 6.089624999999997, 'xsmm_local_best': 5.766, 'xsmm_upstream_avg': 6.088604166666667, 'xsmm_upstream_best': 6.068}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9949810273640576, 'speedup_best': 0.9935757147899753, 'xsmm_local_avg': 14.955749999999997, 'xsmm_local_best': 14.165, 'xsmm_upstream_avg': 14.8806875, 'xsmm_upstream_best': 14.074}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0103236269332, 'speedup_best': 1.010532122975074, 'xsmm_local_avg': 20.476895833333337, 'xsmm_local_best': 19.939, 'xsmm_upstream_avg': 20.688291666666668, 'xsmm_upstream_best': 20.149}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.007363097574505, 'speedup_best': 1.0123922413793105, 'xsmm_local_avg': 32.11114583333334, 'xsmm_local_best': 31.552, 'xsmm_upstream_avg': 32.34758333333333, 'xsmm_upstream_best': 31.943}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9751180793230373, 'speedup_best': 0.9645807083858323, 'xsmm_local_avg': 29.50435416666667, 'xsmm_local_best': 28.572, 'xsmm_upstream_avg': 28.770229166666656, 'xsmm_upstream_best': 27.56}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0073406088279593, 'speedup_best': 1.0177619893428065, 'xsmm_local_avg': 27.302458333333334, 'xsmm_local_best': 26.461, 'xsmm_upstream_avg': 27.502874999999992, 'xsmm_upstream_best': 26.931}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0006262870509968, 'speedup_best': 0.9939784053156147, 'xsmm_local_avg': 20.091958333333338, 'xsmm_local_best': 19.264, 'xsmm_upstream_avg': 20.10454166666667, 'xsmm_upstream_best': 19.148}
