{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0081909084270286, 'speedup_best': 1.0065672886479726, 'xsmm_local_avg': 38.51322916666666, 'xsmm_local_best': 38.372, 'xsmm_upstream_avg': 38.828687499999994, 'xsmm_upstream_best': 38.624}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0124423410099301, 'speedup_best': 1.0130424163477978, 'xsmm_local_avg': 61.62760416666668, 'xsmm_local_best': 61.415, 'xsmm_upstream_avg': 62.394395833333334, 'xsmm_upstream_best': 62.216}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0304147860137027, 'speedup_best': 1.03053626704593, 'xsmm_local_avg': 95.83606250000001, 'xsmm_local_best': 95.624, 'xsmm_upstream_avg': 98.75089583333336, 'xsmm_upstream_best': 98.544}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.124042205836646, 'speedup_best': 1.1250667093606574, 'xsmm_local_avg': 187.817625, 'xsmm_local_best': 187.38, 'xsmm_upstream_avg': 211.11493749999997, 'xsmm_upstream_best': 210.815}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.1478613790973902, 'speedup_best': 1.1439426931669179, 'xsmm_local_avg': 425.5935833333333, 'xsmm_local_best': 424.80100000000004, 'xsmm_upstream_avg': 488.5224375, 'xsmm_upstream_best': 485.948}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0371344671753904, 'speedup_best': 1.0168239362962304, 'xsmm_local_avg': 974.5270208333335, 'xsmm_local_best': 966.599, 'xsmm_upstream_avg': 1010.7155624999999, 'xsmm_upstream_best': 982.861}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.009005316017745, 'speedup_best': 1.0094976323953626, 'xsmm_local_avg': 36.948083333333344, 'xsmm_local_best': 36.746, 'xsmm_upstream_avg': 37.28081249999999, 'xsmm_upstream_best': 37.095}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.0261855658016648, 'speedup_best': 1.0277990351023114, 'xsmm_local_avg': 60.418145833333334, 'xsmm_local_best': 60.110000000000014, 'xsmm_upstream_avg': 62.000229166666664, 'xsmm_upstream_best': 61.78099999999995}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.0086890601845577, 'speedup_best': 1.0088238911207674, 'xsmm_local_avg': 97.86252083333329, 'xsmm_local_best': 97.576, 'xsmm_upstream_avg': 98.71285416666666, 'xsmm_upstream_best': 98.437}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.1486440311064503, 'speedup_best': 1.1479918837965795, 'xsmm_local_avg': 186.99497916666664, 'xsmm_local_best': 186.294, 'xsmm_upstream_avg': 214.79066666666668, 'xsmm_upstream_best': 213.864}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.1474598432810046, 'speedup_best': 1.1422612802294656, 'xsmm_local_avg': 427.2349583333334, 'xsmm_local_best': 426.033, 'xsmm_upstream_avg': 490.2349583333333, 'xsmm_upstream_best': 486.64099999999996}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'speedup_avg': 1.0470665948859392, 'speedup_best': 1.0341440000338322, 'xsmm_local_avg': 949.1869999999999, 'xsmm_local_best': 945.847, 'xsmm_upstream_avg': 993.862, 'xsmm_upstream_best': 978.142}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0209055158763236, 'speedup_best': 1.0183059945122073, 'xsmm_local_avg': 50.23793750000001, 'xsmm_local_best': 49.929, 'xsmm_upstream_avg': 51.288187500000014, 'xsmm_upstream_best': 50.843}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.002751359241158, 'speedup_best': 1.0028705902924506, 'xsmm_local_avg': 137.50779166666666, 'xsmm_local_best': 137.254, 'xsmm_upstream_avg': 137.886125, 'xsmm_upstream_best': 137.648}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0018929764460602, 'speedup_best': 1.0020585618942497, 'xsmm_local_avg': 215.03833333333333, 'xsmm_local_best': 214.71299999999997, 'xsmm_upstream_avg': 215.44539583333338, 'xsmm_upstream_best': 215.155}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.0020257689217207, 'speedup_best': 1.0018346409173204, 'xsmm_local_avg': 290.6715208333332, 'xsmm_local_best': 289.975, 'xsmm_upstream_avg': 291.2603541666667, 'xsmm_upstream_best': 290.507}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 1.0009175823187386, 'speedup_best': 1.0006279665763376, 'xsmm_local_avg': 354.3732916666667, 'xsmm_local_best': 353.52200000000005, 'xsmm_upstream_avg': 354.6984583333333, 'xsmm_upstream_best': 353.744}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.0037549651389546, 'speedup_best': 1.0046781902625053, 'xsmm_local_avg': 415.1392291666668, 'xsmm_local_best': 414.049, 'xsmm_upstream_avg': 416.6980625000001, 'xsmm_upstream_best': 415.986}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0291481755062397, 'speedup_best': 1.0297656413475622, 'xsmm_local_avg': 95.86506250000004, 'xsmm_local_best': 95.58, 'xsmm_upstream_avg': 98.65935416666667, 'xsmm_upstream_best': 98.425}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 1.0012028127854868, 'speedup_best': 1.0014866455307718, 'xsmm_local_avg': 177.89897916666666, 'xsmm_local_best': 177.581, 'xsmm_upstream_avg': 178.11295833333338, 'xsmm_upstream_best': 177.845}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 1.0307666682063577, 'speedup_best': 1.0277015425797993, 'xsmm_local_avg': 74.41968750000001, 'xsmm_local_best': 73.967, 'xsmm_upstream_avg': 76.70933333333333, 'xsmm_upstream_best': 76.016}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 1.0000232167009953, 'speedup_best': 1.0007061784698412, 'xsmm_local_avg': 253.9479375, 'xsmm_local_best': 253.477, 'xsmm_upstream_avg': 253.95383333333328, 'xsmm_upstream_best': 253.65599999999995}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'speedup_avg': 1.001473845463679, 'speedup_best': 1.000598226129477, 'xsmm_local_avg': 115.54241666666663, 'xsmm_local_best': 115.341, 'xsmm_upstream_avg': 115.7127083333333, 'xsmm_upstream_best': 115.41}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'speedup_avg': 1.0033123528848482, 'speedup_best': 1.002872425987157, 'xsmm_local_avg': 156.86231249999997, 'xsmm_local_best': 156.662, 'xsmm_upstream_avg': 157.38189583333332, 'xsmm_upstream_best': 157.112}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.1_uniq_64.txt', 'speedup_avg': 1.0121470991028472, 'speedup_best': 1.0120864256205901, 'xsmm_local_avg': 137.00287500000002, 'xsmm_local_best': 136.765, 'xsmm_upstream_avg': 138.66706250000001, 'xsmm_upstream_best': 138.418}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.01_uniq_64.txt', 'speedup_avg': 1.0175256181675885, 'speedup_best': 1.0234720902492773, 'xsmm_local_avg': 50.15158333333333, 'xsmm_local_best': 49.463, 'xsmm_upstream_avg': 51.03052083333332, 'xsmm_upstream_best': 50.624}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.2_uniq_64.txt', 'speedup_avg': 1.0010283023101705, 'speedup_best': 1.0006829099447592, 'xsmm_local_avg': 214.00564583333335, 'xsmm_local_best': 213.791, 'xsmm_upstream_avg': 214.2257083333333, 'xsmm_upstream_best': 213.937}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.3_uniq_64.txt', 'speedup_avg': 1.0021896420753331, 'speedup_best': 1.001612869803071, 'xsmm_local_avg': 289.9161041666667, 'xsmm_local_best': 289.546, 'xsmm_upstream_avg': 290.5509166666667, 'xsmm_upstream_best': 290.013}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.4_uniq_64.txt', 'speedup_avg': 1.0052441833426613, 'speedup_best': 1.0049730347272394, 'xsmm_local_avg': 357.65816666666655, 'xsmm_local_best': 357.126, 'xsmm_upstream_avg': 359.5337916666667, 'xsmm_upstream_best': 358.90200000000004}
