{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0059503203034248, 'speedup_best': 1.0066378378378378, 'xsmm_local_avg': 46.39806250000001, 'xsmm_local_best': 46.25, 'xsmm_upstream_avg': 46.674145833333334, 'xsmm_upstream_best': 46.557}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 0.9853729808826556, 'speedup_best': 0.9863115801429175, 'xsmm_local_avg': 84.82589583333335, 'xsmm_local_best': 84.524, 'xsmm_upstream_avg': 83.58514583333331, 'xsmm_upstream_best': 83.36699999999996}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0082783386885756, 'speedup_best': 1.0088913110017843, 'xsmm_local_avg': 134.22077083333332, 'xsmm_local_best': 133.951, 'xsmm_upstream_avg': 135.33189583333333, 'xsmm_upstream_best': 135.142}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.0360266305330053, 'speedup_best': 1.0361939311074846, 'xsmm_local_avg': 181.6711666666666, 'xsmm_local_best': 181.38400000000001, 'xsmm_upstream_avg': 188.21616666666662, 'xsmm_upstream_best': 187.949}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 1.0544700934889704, 'speedup_best': 1.054945775756516, 'xsmm_local_avg': 229.0488541666667, 'xsmm_local_best': 228.67999999999995, 'xsmm_upstream_avg': 241.5251666666666, 'xsmm_upstream_best': 241.245}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.0741435729322932, 'speedup_best': 1.0743576320725907, 'xsmm_local_avg': 275.32870833333334, 'xsmm_local_best': 275.076, 'xsmm_upstream_avg': 295.7425624999999, 'xsmm_upstream_best': 295.53}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9285729573875391, 'speedup_best': 0.928976871593573, 'xsmm_local_avg': 71.05560416666667, 'xsmm_local_best': 70.822, 'xsmm_upstream_avg': 65.98031250000001, 'xsmm_upstream_best': 65.79200000000003}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 0.9980940220017317, 'speedup_best': 0.9984001176924917, 'xsmm_local_avg': 108.95543750000002, 'xsmm_local_best': 108.758, 'xsmm_upstream_avg': 108.74777083333332, 'xsmm_upstream_best': 108.584}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 0.9215964523805796, 'speedup_best': 0.920194260234873, 'xsmm_local_avg': 70.49797916666667, 'xsmm_local_best': 70.421, 'xsmm_upstream_avg': 64.97068750000001, 'xsmm_upstream_best': 64.801}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 1.0150824574336224, 'speedup_best': 1.0165274038705747, 'xsmm_local_avg': 157.92491666666666, 'xsmm_local_best': 157.496, 'xsmm_upstream_avg': 160.3068125, 'xsmm_upstream_best': 160.09900000000005}
