{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.001067178912545, 'speedup_best': 1.0330357142857143, 'xsmm_local_avg': 5.856562499999999, 'xsmm_local_best': 5.6, 'xsmm_upstream_avg': 5.8628125, 'xsmm_upstream_best': 5.785}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9931095586548022, 'speedup_best': 1.025271912987844, 'xsmm_local_avg': 3.2684166666666656, 'xsmm_local_best': 3.126, 'xsmm_upstream_avg': 3.245895833333332, 'xsmm_upstream_best': 3.205}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.000302979081686, 'speedup_best': 1.0009270704573547, 'xsmm_local_avg': 6.532354166666667, 'xsmm_local_best': 6.472, 'xsmm_upstream_avg': 6.534333333333332, 'xsmm_upstream_best': 6.478}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9796211215306183, 'speedup_best': 1.0173187940987813, 'xsmm_local_avg': 3.3102083333333336, 'xsmm_local_best': 3.118, 'xsmm_upstream_avg': 3.242749999999999, 'xsmm_upstream_best': 3.172}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.002715887944475, 'speedup_best': 1.0407407407407407, 'xsmm_local_avg': 5.799208333333333, 'xsmm_local_best': 5.4, 'xsmm_upstream_avg': 5.814958333333332, 'xsmm_upstream_best': 5.62}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9989960070202876, 'speedup_best': 1.0023012397000965, 'xsmm_local_avg': 13.591562499999995, 'xsmm_local_best': 13.471, 'xsmm_upstream_avg': 13.577916666666672, 'xsmm_upstream_best': 13.502}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9853558301408788, 'speedup_best': 0.9788065960219868, 'xsmm_local_avg': 18.239625000000007, 'xsmm_local_best': 17.647, 'xsmm_upstream_avg': 17.972520833333334, 'xsmm_upstream_best': 17.273}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9943577126292851, 'speedup_best': 0.992102631306687, 'xsmm_local_avg': 29.797312499999993, 'xsmm_local_best': 28.997, 'xsmm_upstream_avg': 29.629187499999997, 'xsmm_upstream_best': 28.768}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0145574852497856, 'speedup_best': 1.031267004311247, 'xsmm_local_avg': 25.02435416666667, 'xsmm_local_best': 23.891, 'xsmm_upstream_avg': 25.38864583333333, 'xsmm_upstream_best': 24.638}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 0.9833515517150437, 'speedup_best': 0.9841647920250541, 'xsmm_local_avg': 22.90879166666667, 'xsmm_local_best': 22.671, 'xsmm_upstream_avg': 22.527395833333333, 'xsmm_upstream_best': 22.312}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 0.9758506188278927, 'speedup_best': 0.9682662538699692, 'xsmm_local_avg': 16.908645833333335, 'xsmm_local_best': 16.796, 'xsmm_upstream_avg': 16.500312500000003, 'xsmm_upstream_best': 16.263}
