{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9977430033102619, 'speedup_best': 1.046647747428166, 'xsmm_local_avg': 5.953708333333335, 'xsmm_local_best': 5.638, 'xsmm_upstream_avg': 5.940270833333336, 'xsmm_upstream_best': 5.901}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9995570805109518, 'speedup_best': 1.0197901049475262, 'xsmm_local_avg': 3.527729166666667, 'xsmm_local_best': 3.335, 'xsmm_upstream_avg': 3.5261666666666667, 'xsmm_upstream_best': 3.401}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.002870304423448, 'speedup_best': 0.9995546979367671, 'xsmm_local_avg': 6.815479166666666, 'xsmm_local_best': 6.737, 'xsmm_upstream_avg': 6.835041666666666, 'xsmm_upstream_best': 6.734}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9941876214592779, 'speedup_best': 1.0179781903919836, 'xsmm_local_avg': 3.537708333333334, 'xsmm_local_best': 3.393, 'xsmm_upstream_avg': 3.5171458333333336, 'xsmm_upstream_best': 3.454}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.004242732291358, 'speedup_best': 1.0302818134080167, 'xsmm_local_avg': 5.9022499999999996, 'xsmm_local_best': 5.713, 'xsmm_upstream_avg': 5.927291666666668, 'xsmm_upstream_best': 5.886}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0045248329802112, 'speedup_best': 1.004520017219113, 'xsmm_local_avg': 13.992229166666663, 'xsmm_local_best': 13.938, 'xsmm_upstream_avg': 14.055541666666668, 'xsmm_upstream_best': 14.001}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9815872429666168, 'speedup_best': 0.982150781519649, 'xsmm_local_avg': 20.53377083333334, 'xsmm_local_best': 20.281, 'xsmm_upstream_avg': 20.155687500000003, 'xsmm_upstream_best': 19.919}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0041714216693476, 'speedup_best': 1.0049004009418951, 'xsmm_local_avg': 31.563979166666655, 'xsmm_local_best': 31.426, 'xsmm_upstream_avg': 31.695645833333327, 'xsmm_upstream_best': 31.58}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0245144884971584, 'speedup_best': 1.029537115961902, 'xsmm_local_avg': 27.380916666666668, 'xsmm_local_best': 26.983, 'xsmm_upstream_avg': 28.052145833333324, 'xsmm_upstream_best': 27.78}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 0.9987836161633229, 'speedup_best': 0.9995280590355243, 'xsmm_local_avg': 23.430104166666666, 'xsmm_local_best': 23.308, 'xsmm_upstream_avg': 23.401604166666672, 'xsmm_upstream_best': 23.297}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 0.9815027329574871, 'speedup_best': 0.9828113283728444, 'xsmm_local_avg': 17.464291666666668, 'xsmm_local_best': 17.337, 'xsmm_upstream_avg': 17.141250000000003, 'xsmm_upstream_best': 17.039}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 0.9863847286950314, 'speedup_best': 0.9824535750840766, 'xsmm_local_avg': 20.719687500000003, 'xsmm_local_best': 20.517, 'xsmm_upstream_avg': 20.437583333333336, 'xsmm_upstream_best': 20.157}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.0067751786171455, 'speedup_best': 1.0099218376136545, 'xsmm_local_avg': 31.573583333333332, 'xsmm_local_best': 31.345, 'xsmm_upstream_avg': 31.787499999999994, 'xsmm_upstream_best': 31.656}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 1.0163697421248745, 'speedup_best': 1.0150259067357512, 'xsmm_local_avg': 27.40829166666666, 'xsmm_local_best': 27.02, 'xsmm_upstream_avg': 27.85695833333334, 'xsmm_upstream_best': 27.426}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 0.9982020203824624, 'speedup_best': 1.0002159547358875, 'xsmm_local_avg': 23.32479166666666, 'xsmm_local_best': 23.153, 'xsmm_upstream_avg': 23.28285416666668, 'xsmm_upstream_best': 23.158}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0117388747442522, 'speedup_best': 1.0115144639818492, 'xsmm_local_avg': 35.49637500000001, 'xsmm_local_best': 35.26, 'xsmm_upstream_avg': 35.91306250000001, 'xsmm_upstream_best': 35.666}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0224685320492362, 'speedup_best': 1.023322135485898, 'xsmm_local_avg': 41.64620833333334, 'xsmm_local_best': 41.377, 'xsmm_upstream_avg': 42.58193750000001, 'xsmm_upstream_best': 42.342}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0062322307017475, 'speedup_best': 1.0054683442026893, 'xsmm_local_avg': 69.43741666666666, 'xsmm_local_best': 69.308, 'xsmm_upstream_avg': 69.87016666666669, 'xsmm_upstream_best': 69.687}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0549066090864796, 'speedup_best': 1.0552693342492414, 'xsmm_local_avg': 70.07618749999999, 'xsmm_local_best': 69.876, 'xsmm_upstream_avg': 73.92383333333333, 'xsmm_upstream_best': 73.738}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0235002346689377, 'speedup_best': 1.024841141290805, 'xsmm_local_avg': 64.98516666666664, 'xsmm_local_best': 64.208, 'xsmm_upstream_avg': 66.51233333333333, 'xsmm_upstream_best': 65.803}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 0.9587784960234627, 'speedup_best': 0.9421296820187847, 'xsmm_local_avg': 44.553, 'xsmm_local_best': 44.185, 'xsmm_upstream_avg': 42.71645833333333, 'xsmm_upstream_best': 41.628}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 1.0187826770075867, 'speedup_best': 1.0210455828191516, 'xsmm_local_avg': 42.00679166666668, 'xsmm_local_best': 41.814, 'xsmm_upstream_avg': 42.795791666666666, 'xsmm_upstream_best': 42.694}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 1.008948048181659, 'speedup_best': 1.0090356663443079, 'xsmm_local_avg': 69.39362499999999, 'xsmm_local_best': 69.281, 'xsmm_upstream_avg': 70.01456249999997, 'xsmm_upstream_best': 69.907}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m132.txt', 'speedup_avg': 1.0708360778586716, 'speedup_best': 1.0676048063338415, 'xsmm_local_avg': 71.67045833333333, 'xsmm_local_best': 71.489, 'xsmm_upstream_avg': 76.7473125, 'xsmm_upstream_best': 76.322}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m460.txt', 'speedup_avg': 1.0285326186623904, 'speedup_best': 1.0337645015199455, 'xsmm_local_avg': 65.32143749999999, 'xsmm_local_best': 64.476, 'xsmm_upstream_avg': 67.18522916666666, 'xsmm_upstream_best': 66.653}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0160593336778994, 'speedup_best': 1.0160517489218974, 'xsmm_local_avg': 58.527750000000005, 'xsmm_local_best': 58.436, 'xsmm_upstream_avg': 59.46766666666667, 'xsmm_upstream_best': 59.374}
