{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 0.9950613010399382, 'speedup_best': 0.9976774022296939, 'xsmm_local_avg': 45.49949999999999, 'xsmm_local_best': 45.208, 'xsmm_upstream_avg': 45.27479166666666, 'xsmm_upstream_best': 45.103}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 0.9623181220965998, 'speedup_best': 0.9644722187848037, 'xsmm_local_avg': 81.10552083333333, 'xsmm_local_best': 80.81, 'xsmm_upstream_avg': 78.04931249999998, 'xsmm_upstream_best': 77.939}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0200938701376276, 'speedup_best': 1.0273570792220672, 'xsmm_local_avg': 119.97958333333334, 'xsmm_local_best': 118.982, 'xsmm_upstream_avg': 122.39043750000002, 'xsmm_upstream_best': 122.237}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.036738844448271, 'speedup_best': 1.0370370370370368, 'xsmm_local_avg': 162.60775, 'xsmm_local_best': 162.405, 'xsmm_upstream_avg': 168.58177083333337, 'xsmm_upstream_best': 168.41999999999996}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 1.0467912005481057, 'speedup_best': 1.0473086173210506, 'xsmm_local_avg': 208.68818750000003, 'xsmm_local_best': 208.313, 'xsmm_upstream_avg': 218.4529583333332, 'xsmm_upstream_best': 218.168}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.0615472330328457, 'speedup_best': 1.0608350179913673, 'xsmm_local_avg': 256.62235416666664, 'xsmm_local_best': 256.234, 'xsmm_upstream_avg': 272.4167499999999, 'xsmm_upstream_best': 271.822}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9327892813416692, 'speedup_best': 0.9320601405652265, 'xsmm_local_avg': 67.60485416666667, 'xsmm_local_best': 67.442, 'xsmm_upstream_avg': 63.06108333333335, 'xsmm_upstream_best': 62.86}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 1.0005170833674977, 'speedup_best': 1.00823985109915, 'xsmm_local_avg': 100.36260416666666, 'xsmm_local_best': 99.395, 'xsmm_upstream_avg': 100.41449999999999, 'xsmm_upstream_best': 100.214}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 0.948517628326498, 'speedup_best': 0.9487534424222994, 'xsmm_local_avg': 68.77070833333335, 'xsmm_local_best': 68.629, 'xsmm_upstream_avg': 65.23022916666667, 'xsmm_upstream_best': 65.112}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 1.0310804992004041, 'speedup_best': 1.0329855508945536, 'xsmm_local_avg': 139.87535416666665, 'xsmm_local_best': 139.45500000000004, 'xsmm_upstream_avg': 144.22275, 'xsmm_upstream_best': 144.055}
