{'a_cols': 112, 'a_nonzero': 14112, 'a_rows': 252, 'a_size': 28224, 'a_unique': 850, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_large/tet/p6/shunn-ham/m6.txt', 'speedup_avg': 0.9953303212691059, 'speedup_best': 0.9684306162681066, 'xsmm_local_avg': 292.1953333333332, 'xsmm_local_best': 291.675, 'xsmm_upstream_avg': 290.83087500000005, 'xsmm_upstream_best': 282.467}
{'a_cols': 252, 'a_nonzero': 20400, 'a_rows': 84, 'a_size': 21168, 'a_unique': 3520, 'alpha': 1.0, 'beta': 0.0, 'density': 0.963718820861678, 'mat_file': 'example_mats_large/tet/p6/shunn-ham/m132.txt', 'speedup_avg': 0.9986668995591054, 'speedup_best': 0.9994293128756668, 'xsmm_local_avg': 359.2502499999999, 'xsmm_local_best': 352.207, 'xsmm_upstream_avg': 358.77133333333336, 'xsmm_upstream_best': 352.006}
{'a_cols': 84, 'a_nonzero': 20400, 'a_rows': 252, 'a_size': 21168, 'a_unique': 3520, 'alpha': 1.0, 'beta': 0.0, 'density': 0.963718820861678, 'mat_file': 'example_mats_large/tet/p6/shunn-ham/m460.txt', 'speedup_avg': 0.9971118378946718, 'speedup_best': 0.9711793806009255, 'xsmm_local_avg': 225.84287500000002, 'xsmm_local_best': 225.186, 'xsmm_upstream_avg': 225.19060416666665, 'xsmm_upstream_best': 218.696}
{'a_cols': 30, 'a_nonzero': 432, 'a_rows': 15, 'a_size': 450, 'a_unique': 216, 'alpha': 1.0, 'beta': 0.0, 'density': 0.96, 'mat_file': 'example_mats_large/tri/p4/williams-shunn/m132.txt', 'speedup_avg': 1.0013147563471474, 'speedup_best': 0.9653361344537815, 'xsmm_local_avg': 11.329729166666667, 'xsmm_local_best': 10.472, 'xsmm_upstream_avg': 11.344625000000002, 'xsmm_upstream_best': 10.109}
{'a_cols': 15, 'a_nonzero': 432, 'a_rows': 30, 'a_size': 450, 'a_unique': 216, 'alpha': 1.0, 'beta': 0.0, 'density': 0.96, 'mat_file': 'example_mats_large/tri/p4/williams-shunn/m460.txt', 'speedup_avg': 0.9708912395683881, 'speedup_best': 1.0100674734925565, 'xsmm_local_avg': 9.815916666666665, 'xsmm_local_best': 9.337, 'xsmm_upstream_avg': 9.530187499999998, 'xsmm_upstream_best': 9.431}
{'a_cols': 18, 'a_nonzero': 378, 'a_rows': 21, 'a_size': 378, 'a_unique': 126, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'example_mats_large/tri/p5/williams-shunn/m3.txt', 'speedup_avg': 0.9669798498766019, 'speedup_best': 0.9780689655172414, 'xsmm_local_avg': 7.740854166666665, 'xsmm_local_best': 7.25, 'xsmm_upstream_avg': 7.48525, 'xsmm_upstream_best': 7.091}
{'a_cols': 18, 'a_nonzero': 504, 'a_rows': 42, 'a_size': 756, 'a_unique': 126, 'alpha': 1.0, 'beta': 0.0, 'density': 0.6666666666666666, 'mat_file': 'example_mats_large/tri/p5/williams-shunn/m6.txt', 'speedup_avg': 1.0112230575586583, 'speedup_best': 1.0, 'xsmm_local_avg': 14.66475, 'xsmm_local_best': 14.493, 'xsmm_upstream_avg': 14.829333333333333, 'xsmm_upstream_best': 14.493}
{'a_cols': 42, 'a_nonzero': 864, 'a_rows': 21, 'a_size': 882, 'a_unique': 432, 'alpha': 1.0, 'beta': 0.0, 'density': 0.9795918367346939, 'mat_file': 'example_mats_large/tri/p5/williams-shunn/m132.txt', 'speedup_avg': 0.9882322611138263, 'speedup_best': 0.9783961918711095, 'xsmm_local_avg': 19.39447916666667, 'xsmm_local_best': 19.117, 'xsmm_upstream_avg': 19.16625, 'xsmm_upstream_best': 18.704}
{'a_cols': 21, 'a_nonzero': 864, 'a_rows': 42, 'a_size': 882, 'a_unique': 432, 'alpha': 1.0, 'beta': 0.0, 'density': 0.9795918367346939, 'mat_file': 'example_mats_large/tri/p5/williams-shunn/m460.txt', 'speedup_avg': 0.9886230397891811, 'speedup_best': 0.9987370548118212, 'xsmm_local_avg': 16.22247916666667, 'xsmm_local_best': 15.836, 'xsmm_upstream_avg': 16.037916666666664, 'xsmm_upstream_best': 15.816}
{'a_cols': 21, 'a_nonzero': 588, 'a_rows': 28, 'a_size': 588, 'a_unique': 200, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'example_mats_large/tri/p6/williams-shunn/m3.txt', 'speedup_avg': 1.0078102522987686, 'speedup_best': 1.0051272489978558, 'xsmm_local_avg': 10.861791666666667, 'xsmm_local_best': 10.727, 'xsmm_upstream_avg': 10.946624999999997, 'xsmm_upstream_best': 10.782}
{'a_cols': 21, 'a_nonzero': 784, 'a_rows': 56, 'a_size': 1176, 'a_unique': 200, 'alpha': 1.0, 'beta': 0.0, 'density': 0.6666666666666666, 'mat_file': 'example_mats_large/tri/p6/williams-shunn/m6.txt', 'speedup_avg': 1.0171185992199994, 'speedup_best': 1.0125121291047445, 'xsmm_local_avg': 19.919854166666664, 'xsmm_local_best': 19.581, 'xsmm_upstream_avg': 20.260854166666665, 'xsmm_upstream_best': 19.826}
{'a_cols': 56, 'a_nonzero': 1536, 'a_rows': 28, 'a_size': 1568, 'a_unique': 768, 'alpha': 1.0, 'beta': 0.0, 'density': 0.9795918367346939, 'mat_file': 'example_mats_large/tri/p6/williams-shunn/m132.txt', 'speedup_avg': 1.0063069753651042, 'speedup_best': 0.9964075103368806, 'xsmm_local_avg': 29.791749999999993, 'xsmm_local_best': 29.506, 'xsmm_upstream_avg': 29.979645833333336, 'xsmm_upstream_best': 29.4}
{'a_cols': 28, 'a_nonzero': 1536, 'a_rows': 56, 'a_size': 1568, 'a_unique': 768, 'alpha': 1.0, 'beta': 0.0, 'density': 0.9795918367346939, 'mat_file': 'example_mats_large/tri/p6/williams-shunn/m460.txt', 'speedup_avg': 0.9947740146043206, 'speedup_best': 0.9940020139223327, 'xsmm_local_avg': 23.149541666666668, 'xsmm_local_best': 22.841, 'xsmm_upstream_avg': 23.028562499999996, 'xsmm_upstream_best': 22.704}
Average speedup (best) of local over upstream 0.9866057286744098
Average speedup (iqr avg) of local over upstream 0.9952085788922317
