{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'b_num_col': 414252, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.0178085945865505, 'speedup_best': 1.0196470245040838, 'xsmm_local_avg': 68.87475, 'xsmm_local_best': 68.56, 'xsmm_upstream_avg': 70.10131250000002, 'xsmm_upstream_best': 69.907}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'b_num_col': 414252, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9839613244431465, 'speedup_best': 0.9857606090511771, 'xsmm_local_avg': 64.20937500000001, 'xsmm_local_best': 63.837, 'xsmm_upstream_avg': 63.17954166666667, 'xsmm_upstream_best': 62.928}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'b_num_col': 414252, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0101178708175882, 'speedup_best': 1.0009069661980667, 'xsmm_local_avg': 58.27354166666666, 'xsmm_local_best': 57.334, 'xsmm_upstream_avg': 58.86314583333334, 'xsmm_upstream_best': 57.38599999999997}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'b_num_col': 349525, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0130531967333747, 'speedup_best': 1.0128581584397118, 'xsmm_local_avg': 64.83245833333334, 'xsmm_local_best': 64.706, 'xsmm_upstream_avg': 65.67872916666666, 'xsmm_upstream_best': 65.538}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'b_num_col': 349525, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0574261155092821, 'speedup_best': 1.0564880742886538, 'xsmm_local_avg': 74.00487500000001, 'xsmm_local_best': 73.874, 'xsmm_upstream_avg': 78.2546875, 'xsmm_upstream_best': 78.047}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'b_num_col': 174762, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0343706811785123, 'speedup_best': 1.0343200343200343, 'xsmm_local_avg': 63.117020833333335, 'xsmm_local_best': 62.937, 'xsmm_upstream_avg': 65.28639583333336, 'xsmm_upstream_best': 65.097}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'b_num_col': 174762, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9840792701724117, 'speedup_best': 0.9835105932801081, 'xsmm_local_avg': 71.09441666666666, 'xsmm_local_best': 70.894, 'xsmm_upstream_avg': 69.96254166666667, 'xsmm_upstream_best': 69.725}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'b_num_col': 174762, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0293805665978963, 'speedup_best': 1.0292533462344784, 'xsmm_local_avg': 62.103125, 'xsmm_local_best': 62.01, 'xsmm_upstream_avg': 63.92774999999998, 'xsmm_upstream_best': 63.824}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'b_num_col': 349525, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 1.0228793145285053, 'speedup_best': 1.0226827760317385, 'xsmm_local_avg': 77.78587500000002, 'xsmm_local_best': 77.636, 'xsmm_upstream_avg': 79.56556250000001, 'xsmm_upstream_best': 79.39700000000005}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'b_num_col': 349525, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 1.051457380361745, 'speedup_best': 1.0516657446263038, 'xsmm_local_avg': 74.27425, 'xsmm_local_best': 74.111, 'xsmm_upstream_avg': 78.09620833333334, 'xsmm_upstream_best': 77.94}
