{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.023528830184589, 'speedup_best': 1.0147761742807244, 'xsmm_local_avg': 43.82920833333333, 'xsmm_local_best': 43.516, 'xsmm_upstream_avg': 44.860458333333305, 'xsmm_upstream_best': 44.159}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.3261154085572386, 'speedup_best': 1.3211698765881632, 'xsmm_local_avg': 77.04295833333335, 'xsmm_local_best': 76.897, 'xsmm_upstream_avg': 102.16785416666666, 'xsmm_upstream_best': 101.594}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.2759662575547528, 'speedup_best': 1.2764406089176, 'xsmm_local_avg': 120.56772916666667, 'xsmm_local_best': 120.279, 'xsmm_upstream_avg': 153.84035416666669, 'xsmm_upstream_best': 153.529}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.355857222755429, 'speedup_best': 1.3637398100994274, 'xsmm_local_avg': 161.887375, 'xsmm_local_best': 160.821, 'xsmm_upstream_avg': 219.49616666666665, 'xsmm_upstream_best': 219.318}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 0.6304117074665614, 'speedup_best': 0.622026625514547, 'xsmm_upstream_avg': 286.61481249999997, 'xsmm_upstream_best': 286.417, 'xsmm_local_avg': 180.68533333333332, 'xsmm_local_best': 178.159}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 0.5106752192443972, 'speedup_best': 0.5035835180848591, 'xsmm_upstream_avg': 353.20410416666664, 'xsmm_upstream_best': 352.726, 'xsmm_local_avg': 180.37258333333338, 'xsmm_local_best': 177.627}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.2874059797437216, 'speedup_best': 1.2873708214060453, 'xsmm_local_avg': 62.023979166666656, 'xsmm_local_best': 61.833, 'xsmm_upstream_avg': 79.85004166666667, 'xsmm_upstream_best': 79.602}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 1.2370696074726462, 'speedup_best': 1.2347222081999818, 'xsmm_local_avg': 99.17727083333334, 'xsmm_local_best': 99.049, 'xsmm_upstream_avg': 122.68918749999999, 'xsmm_upstream_best': 122.298}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 1.0406223399694148, 'speedup_best': 1.0372220354449833, 'xsmm_local_avg': 62.92514583333334, 'xsmm_local_best': 62.463, 'xsmm_upstream_avg': 65.48131250000002, 'xsmm_upstream_best': 64.788}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 1.3211489819408326, 'speedup_best': 1.325051833338067, 'xsmm_local_avg': 141.4701666666667, 'xsmm_local_best': 140.836, 'xsmm_upstream_avg': 186.90316666666664, 'xsmm_upstream_best': 186.615}
