{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0463086554804502, 'speedup_best': 1.0462575626620572, 'xsmm_local_avg': 29.233645833333338, 'xsmm_local_best': 28.925, 'xsmm_upstream_avg': 30.58741666666667, 'xsmm_upstream_best': 30.263}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.2742266913683808, 'speedup_best': 1.2753702551337898, 'xsmm_local_avg': 40.3818125, 'xsmm_local_best': 40.175, 'xsmm_upstream_avg': 51.45558333333332, 'xsmm_upstream_best': 51.238}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.2588185133180771, 'speedup_best': 1.2569073013260752, 'xsmm_local_avg': 63.32558333333333, 'xsmm_local_best': 63.194, 'xsmm_upstream_avg': 79.71541666666667, 'xsmm_upstream_best': 79.429}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.1732053977154335, 'speedup_best': 1.171582986701037, 'xsmm_local_avg': 136.9807916666667, 'xsmm_local_best': 136.552, 'xsmm_upstream_avg': 160.70660416666666, 'xsmm_upstream_best': 159.982}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.280601873892525, 'speedup_best': 1.2734670554854983, 'xsmm_local_avg': 305.8406458333333, 'xsmm_local_best': 304.51199999999994, 'xsmm_upstream_avg': 391.6601041666667, 'xsmm_upstream_best': 387.786}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.1772903943191182, 'speedup_best': 1.1611223999300821, 'xsmm_local_avg': 740.8181250000002, 'xsmm_local_best': 732.288, 'xsmm_upstream_avg': 872.1580625000001, 'xsmm_upstream_best': 850.2760000000001}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.050161837692974, 'speedup_best': 1.0477416080620605, 'xsmm_local_avg': 27.876437499999998, 'xsmm_local_best': 27.586, 'xsmm_upstream_avg': 29.27477083333333, 'xsmm_upstream_best': 28.903}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.2937499078949308, 'speedup_best': 1.2961004626569728, 'xsmm_local_avg': 39.58341666666667, 'xsmm_local_best': 39.338, 'xsmm_upstream_avg': 51.21104166666668, 'xsmm_upstream_best': 50.986}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.2669507832304103, 'speedup_best': 1.2665805546253328, 'xsmm_local_avg': 62.90454166666667, 'xsmm_local_best': 62.709, 'xsmm_upstream_avg': 79.69695833333331, 'xsmm_upstream_best': 79.426}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.1943769837175386, 'speedup_best': 1.191628991188021, 'xsmm_local_avg': 135.28104166666665, 'xsmm_local_best': 134.703, 'xsmm_upstream_avg': 161.5765625, 'xsmm_upstream_best': 160.516}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.2222635037700504, 'speedup_best': 1.2194727714401834, 'xsmm_local_avg': 324.0507083333334, 'xsmm_local_best': 322.327, 'xsmm_upstream_avg': 396.0753541666667, 'xsmm_upstream_best': 393.069}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'speedup_avg': 1.1760467004466415, 'speedup_best': 1.1660339298215516, 'xsmm_local_avg': 735.3962499999999, 'xsmm_local_best': 722.786, 'xsmm_upstream_avg': 864.8603333333334, 'xsmm_upstream_best': 842.793}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0241513655354686, 'speedup_best': 1.0217183662330573, 'xsmm_local_avg': 44.17452083333333, 'xsmm_local_best': 43.972, 'xsmm_upstream_avg': 45.241395833333335, 'xsmm_upstream_best': 44.927}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.329188598342411, 'speedup_best': 1.323542391360781, 'xsmm_local_avg': 77.24827083333334, 'xsmm_local_best': 77.044, 'xsmm_upstream_avg': 102.67752083333329, 'xsmm_upstream_best': 101.971}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.2849573019537983, 'speedup_best': 1.2858155732577052, 'xsmm_local_avg': 120.13137500000003, 'xsmm_local_best': 119.885, 'xsmm_upstream_avg': 154.36368750000003, 'xsmm_upstream_best': 154.15}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.3457281467158766, 'speedup_best': 1.35098281078361, 'xsmm_local_avg': 163.7087083333333, 'xsmm_local_best': 162.951, 'xsmm_upstream_avg': 220.30741666666663, 'xsmm_upstream_best': 220.144}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 0.6169524607495479, 'speedup_best': 0.6218946133132157, 'xsmm_upstream_avg': 291.86102083333327, 'xsmm_upstream_best': 286.317, 'xsmm_local_avg': 180.064375, 'xsmm_local_best': 178.059}
