{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0402940777786498, 'speedup_best': 1.0377625760088447, 'xsmm_local_avg': 29.20145833333334, 'xsmm_local_best': 28.944, 'xsmm_upstream_avg': 30.37810416666667, 'xsmm_upstream_best': 30.037}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.2669653146019593, 'speedup_best': 1.267719080174021, 'xsmm_local_avg': 40.47872916666665, 'xsmm_local_best': 40.225, 'xsmm_upstream_avg': 51.285145833333324, 'xsmm_upstream_best': 50.994}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.25825654383418, 'speedup_best': 1.2569998733054606, 'xsmm_local_avg': 63.31341666666663, 'xsmm_local_best': 63.144, 'xsmm_upstream_avg': 79.66452083333333, 'xsmm_upstream_best': 79.372}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.1356682237886064, 'speedup_best': 1.128776363978518, 'xsmm_local_avg': 138.45879166666666, 'xsmm_local_best': 138.162, 'xsmm_upstream_avg': 157.24325000000002, 'xsmm_upstream_best': 155.954}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.2044646830752392, 'speedup_best': 1.2036194941031746, 'xsmm_local_avg': 328.2913125, 'xsmm_local_best': 326.786, 'xsmm_upstream_avg': 395.41529166666686, 'xsmm_upstream_best': 393.326}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.203421143583589, 'speedup_best': 1.1856149486989342, 'xsmm_local_avg': 729.7925208333332, 'xsmm_local_best': 722.7919999999999, 'xsmm_upstream_avg': 878.2477500000001, 'xsmm_upstream_best': 856.953}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.032177258421392, 'speedup_best': 1.0317227041364974, 'xsmm_local_avg': 28.2186875, 'xsmm_local_best': 27.898, 'xsmm_upstream_avg': 29.126687500000003, 'xsmm_upstream_best': 28.783}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.3027605422595847, 'speedup_best': 1.3023755337919043, 'xsmm_local_avg': 39.34462499999999, 'xsmm_local_best': 39.107, 'xsmm_upstream_avg': 51.25662500000001, 'xsmm_upstream_best': 50.932}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.2648385080501432, 'speedup_best': 1.263697154439107, 'xsmm_local_avg': 62.828854166666666, 'xsmm_local_best': 62.659, 'xsmm_upstream_avg': 79.46835416666669, 'xsmm_upstream_best': 79.182}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.1773056908082857, 'speedup_best': 1.1725691581078042, 'xsmm_local_avg': 133.66181249999997, 'xsmm_local_best': 133.39, 'xsmm_upstream_avg': 157.36081250000004, 'xsmm_upstream_best': 156.409}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.1914074227727043, 'speedup_best': 1.1921070911028875, 'xsmm_local_avg': 335.85383333333334, 'xsmm_local_best': 333.996, 'xsmm_upstream_avg': 400.13875, 'xsmm_upstream_best': 398.159}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'speedup_avg': 1.121976186212421, 'speedup_best': 1.126129584079306, 'xsmm_local_avg': 775.3823958333334, 'xsmm_local_best': 752.932, 'xsmm_upstream_avg': 869.9605833333331, 'xsmm_upstream_best': 847.899}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0135608855655704, 'speedup_best': 1.0099358029172243, 'xsmm_local_avg': 44.4000625, 'xsmm_local_best': 44.083, 'xsmm_upstream_avg': 45.002166666666675, 'xsmm_upstream_best': 44.521}
