{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9729854063954346, 'speedup_best': 0.9942026104816802, 'xsmm_local_avg': 31.519229166666662, 'xsmm_local_best': 30.186, 'xsmm_upstream_avg': 30.667749999999998, 'xsmm_upstream_best': 30.011}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0222883802711367, 'speedup_best': 1.0194204821942048, 'xsmm_local_avg': 22.938895833333337, 'xsmm_local_best': 22.605, 'xsmm_upstream_avg': 23.450166666666664, 'xsmm_upstream_best': 23.044}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.987490305256069, 'speedup_best': 1.005638781349941, 'xsmm_local_avg': 36.71985416666667, 'xsmm_local_best': 35.646, 'xsmm_upstream_avg': 36.26050000000001, 'xsmm_upstream_best': 35.847}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.8745292819826223, 'speedup_best': 0.8781921577815168, 'xsmm_local_avg': 47.50610416666668, 'xsmm_local_best': 46.951, 'xsmm_upstream_avg': 41.545479166666674, 'xsmm_upstream_best': 41.232}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9056540263683877, 'speedup_best': 0.9043749192355731, 'xsmm_local_avg': 69.81529166666665, 'xsmm_local_best': 69.647, 'xsmm_upstream_avg': 63.2285, 'xsmm_upstream_best': 62.986999999999966}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.8873709323313994, 'speedup_best': 0.8829099215149864, 'xsmm_local_avg': 75.55387499999999, 'xsmm_local_best': 75.301, 'xsmm_upstream_avg': 67.0443125, 'xsmm_upstream_best': 66.484}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0371189548234954, 'speedup_best': 1.034849639983058, 'xsmm_local_avg': 59.47320833333334, 'xsmm_local_best': 59.025, 'xsmm_upstream_avg': 61.680791666666664, 'xsmm_upstream_best': 61.082}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 0.9816933888145255, 'speedup_best': 0.9788182831661092, 'xsmm_local_avg': 34.36600000000001, 'xsmm_local_best': 34.086, 'xsmm_upstream_avg': 33.73687499999999, 'xsmm_upstream_best': 33.364}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 0.882019172770167, 'speedup_best': 0.882220603359616, 'xsmm_local_avg': 47.04154166666666, 'xsmm_local_best': 46.672, 'xsmm_upstream_avg': 41.49154166666667, 'xsmm_upstream_best': 41.175}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 0.8950828355057437, 'speedup_best': 0.8976963800257548, 'xsmm_local_avg': 70.24966666666668, 'xsmm_local_best': 69.89, 'xsmm_upstream_avg': 62.879270833333344, 'xsmm_upstream_best': 62.74}
