{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9982194357366769, 'speedup_best': 1.007699037620292, 'xsmm_local_avg': 5.815104166666667, 'xsmm_local_best': 5.715000000000032, 'xsmm_upstream_avg': 5.804749999999999, 'xsmm_upstream_best': 5.759}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9964842983171031, 'speedup_best': 1.0023852116875374, 'xsmm_local_avg': 3.5021458333333335, 'xsmm_local_best': 3.354, 'xsmm_upstream_avg': 3.489833333333333, 'xsmm_upstream_best': 3.362}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.00358035128451, 'speedup_best': 1.0041487400122926, 'xsmm_local_avg': 6.604333333333333, 'xsmm_local_best': 6.508, 'xsmm_upstream_avg': 6.627979166666666, 'xsmm_upstream_best': 6.535}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.01773686164031, 'speedup_best': 1.0069402534701268, 'xsmm_local_avg': 3.4238958333333334, 'xsmm_local_best': 3.314, 'xsmm_upstream_avg': 3.4846250000000007, 'xsmm_upstream_best': 3.337}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9980288102487502, 'speedup_best': 0.9944559944559944, 'xsmm_local_avg': 5.802333333333334, 'xsmm_local_best': 5.772, 'xsmm_upstream_avg': 5.790895833333333, 'xsmm_upstream_best': 5.74}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0202685401407254, 'speedup_best': 1.0210059171597634, 'xsmm_local_avg': 13.587354166666664, 'xsmm_local_best': 13.52, 'xsmm_upstream_avg': 13.86275, 'xsmm_upstream_best': 13.804}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.6782373269353524, 'speedup_best': 0.6674654377880185, 'xsmm_local_avg': 21.769020833333332, 'xsmm_local_best': 21.7, 'xsmm_upstream_avg': 14.764562499999998, 'xsmm_upstream_best': 14.484}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9291571101653777, 'speedup_best': 0.914060324825986, 'xsmm_local_avg': 32.445916666666676, 'xsmm_local_best': 32.325, 'xsmm_upstream_avg': 30.147354166666673, 'xsmm_upstream_best': 29.547}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9366781195716676, 'speedup_best': 0.9383209594517419, 'xsmm_local_avg': 29.947520833333325, 'xsmm_local_best': 29.767, 'xsmm_upstream_avg': 28.051187499999997, 'xsmm_upstream_best': 27.931}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0365557275321444, 'speedup_best': 1.0283126743813749, 'xsmm_local_avg': 21.95335416666667, 'xsmm_local_best': 21.863, 'xsmm_upstream_avg': 22.755875000000007, 'xsmm_upstream_best': 22.482}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0226271477597881, 'speedup_best': 1.0180763358778626, 'xsmm_local_avg': 16.4330625, 'xsmm_local_best': 16.375, 'xsmm_upstream_avg': 16.804895833333333, 'xsmm_upstream_best': 16.671}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 0.672636520680354, 'speedup_best': 0.6720399698340874, 'xsmm_local_avg': 21.695812500000002, 'xsmm_local_best': 21.216, 'xsmm_upstream_avg': 14.593395833333334, 'xsmm_upstream_best': 14.258}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 0.942267931180179, 'speedup_best': 0.9277801844173527, 'xsmm_local_avg': 32.394979166666666, 'xsmm_local_best': 32.318, 'xsmm_upstream_avg': 30.52475, 'xsmm_upstream_best': 29.984}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9407084767145197, 'speedup_best': 0.9423312465977136, 'xsmm_local_avg': 29.592833333333335, 'xsmm_local_best': 29.392, 'xsmm_upstream_avg': 27.838229166666665, 'xsmm_upstream_best': 27.697}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0353004808949073, 'speedup_best': 1.0275208352413223, 'xsmm_local_avg': 21.91660416666667, 'xsmm_local_best': 21.838, 'xsmm_upstream_avg': 22.690270833333333, 'xsmm_upstream_best': 22.439}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9804863621929599, 'speedup_best': 0.9764368956815153, 'xsmm_local_avg': 35.362020833333325, 'xsmm_local_best': 35.267, 'xsmm_upstream_avg': 34.67197916666665, 'xsmm_upstream_best': 34.436}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.898881967422674, 'speedup_best': 0.8949820279984867, 'xsmm_local_avg': 42.373541666666675, 'xsmm_local_best': 42.288, 'xsmm_upstream_avg': 38.088812499999996, 'xsmm_upstream_best': 37.847}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9610791311545253, 'speedup_best': 0.9606881823923964, 'xsmm_local_avg': 66.59987500000001, 'xsmm_local_best': 66.494, 'xsmm_upstream_avg': 64.00775, 'xsmm_upstream_best': 63.88}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.8254960352647907, 'speedup_best': 0.8240949376596063, 'xsmm_local_avg': 73.4207291666667, 'xsmm_local_best': 73.227, 'xsmm_upstream_avg': 60.60852083333334, 'xsmm_upstream_best': 60.346}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0292510412986178, 'speedup_best': 1.0281756733092846, 'xsmm_local_avg': 57.43029166666667, 'xsmm_local_best': 57.106, 'xsmm_upstream_avg': 59.110187499999995, 'xsmm_upstream_best': 58.715}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 1.031831613112943, 'speedup_best': 1.0317857774111825, 'xsmm_local_avg': 34.09608333333334, 'xsmm_local_best': 33.946, 'xsmm_upstream_avg': 35.18141666666667, 'xsmm_upstream_best': 35.025}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 0.8975901754172695, 'speedup_best': 0.8947803886341071, 'xsmm_local_avg': 42.502229166666666, 'xsmm_local_best': 42.302, 'xsmm_upstream_avg': 38.14958333333332, 'xsmm_upstream_best': 37.851}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 0.9576329433166058, 'speedup_best': 0.9559730496241052, 'xsmm_local_avg': 66.83652083333335, 'xsmm_local_best': 66.641, 'xsmm_upstream_avg': 64.00485416666666, 'xsmm_upstream_best': 63.707}
