{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9450566368470404, 'speedup_best': 0.9436188542243553, 'xsmm_local_avg': 65.22550000000001, 'xsmm_local_best': 65.004, 'xsmm_upstream_avg': 61.64179166666665, 'xsmm_upstream_best': 61.339}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 0.9943590136926561, 'speedup_best': 0.9985714431485393, 'xsmm_local_avg': 98.59756249999998, 'xsmm_local_best': 98.001, 'xsmm_upstream_avg': 98.041375, 'xsmm_upstream_best': 97.861}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 0.9599358655262039, 'speedup_best': 0.9645706745228012, 'xsmm_local_avg': 65.91618749999998, 'xsmm_local_best': 65.172, 'xsmm_upstream_avg': 63.27531250000002, 'xsmm_upstream_best': 62.863}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 1.0295082148203187, 'speedup_best': 1.0323223198021416, 'xsmm_local_avg': 135.86470833333334, 'xsmm_local_best': 135.046, 'xsmm_upstream_avg': 139.8738333333333, 'xsmm_upstream_best': 139.411}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'speedup_avg': 0.9809939218341576, 'speedup_best': 0.9829483578838769, 'xsmm_local_avg': 70.12120833333333, 'xsmm_local_best': 69.788, 'xsmm_upstream_avg': 68.78847916666668, 'xsmm_upstream_best': 68.598}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'speedup_avg': 0.9713102747295068, 'speedup_best': 0.97186617666831, 'xsmm_local_avg': 89.52972916666666, 'xsmm_local_best': 89.252, 'xsmm_upstream_avg': 86.96114583333333, 'xsmm_upstream_best': 86.741}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_32_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9828474164815506, 'speedup_best': 0.9803549887988972, 'xsmm_local_avg': 35.666395833333326, 'xsmm_local_best': 34.818, 'xsmm_upstream_avg': 35.054625, 'xsmm_upstream_best': 34.134}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 64, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_row/q_16/r_64_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9577740331067326, 'speedup_best': 0.9682212942814012, 'xsmm_local_avg': 52.07400000000001, 'xsmm_local_best': 51.009, 'xsmm_upstream_avg': 49.875125000000004, 'xsmm_upstream_best': 49.388}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9412633066868121, 'speedup_best': 0.9424916693539719, 'xsmm_local_avg': 65.46872916666666, 'xsmm_local_best': 65.121, 'xsmm_upstream_avg': 61.623312500000004, 'xsmm_upstream_best': 61.376}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 256, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_256_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9893303692929977, 'speedup_best': 0.9912725252196238, 'xsmm_local_avg': 104.79314583333336, 'xsmm_local_best': 104.383, 'xsmm_upstream_avg': 103.67504166666664, 'xsmm_upstream_best': 103.472}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 512, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_512_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9794226812752099, 'speedup_best': 0.980063325242345, 'xsmm_local_avg': 195.15216666666666, 'xsmm_local_best': 194.86699999999996, 'xsmm_upstream_avg': 191.1364583333333, 'xsmm_upstream_best': 190.982}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 1024, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats_small/vary_row/q_16/r_1024_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9800936569366135, 'speedup_best': 0.9801914234529139, 'xsmm_local_avg': 381.66331250000013, 'xsmm_local_best': 381.249, 'xsmm_upstream_avg': 374.06579166666666, 'xsmm_upstream_best': 373.697}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_unique/r_128_c_128_p_0.05_uniq_8.txt', 'speedup_avg': 0.9542057233839122, 'speedup_best': 0.9543282160035653, 'xsmm_local_avg': 65.34522916666664, 'xsmm_local_best': 65.073, 'xsmm_upstream_avg': 62.35279166666666, 'xsmm_upstream_best': 62.101}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_unique/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.951287502983301, 'speedup_best': 0.949374130737135, 'xsmm_local_avg': 64.94483333333334, 'xsmm_local_best': 64.71, 'xsmm_upstream_avg': 61.781208333333325, 'xsmm_upstream_best': 61.434}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_unique/r_128_c_128_p_0.05_uniq_24.txt', 'speedup_avg': 0.9517327904785616, 'speedup_best': 0.9503904167581297, 'xsmm_local_avg': 64.01343750000001, 'xsmm_local_best': 63.778, 'xsmm_upstream_avg': 60.92368750000001, 'xsmm_upstream_best': 60.614}
Average speedup (best) of local over upstream 0.9906177312225789
Average speedup (iqr avg) of local over upstream 0.9911067846655456
