{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0291673428932455, 'speedup_best': 1.0267353446161394, 'xsmm_local_avg': 28.75433333333333, 'xsmm_local_best': 28.539, 'xsmm_upstream_avg': 29.59302083333334, 'xsmm_upstream_best': 29.302}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0405995526240202, 'speedup_best': 1.0406573524977385, 'xsmm_local_avg': 39.96452083333333, 'xsmm_local_best': 39.796, 'xsmm_upstream_avg': 41.5870625, 'xsmm_upstream_best': 41.414}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9335864600537546, 'speedup_best': 0.9332699789148575, 'xsmm_local_avg': 67.56058333333333, 'xsmm_local_best': 67.346, 'xsmm_upstream_avg': 63.07364583333335, 'xsmm_upstream_best': 62.852}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0150116364152648, 'speedup_best': 1.0119340952946416, 'xsmm_local_avg': 135.58370833333336, 'xsmm_local_best': 134.74, 'xsmm_upstream_avg': 137.61904166666667, 'xsmm_upstream_best': 136.348}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.0999544854440615, 'speedup_best': 1.084604308185035, 'xsmm_local_avg': 310.61491666666666, 'xsmm_local_best': 309.736, 'xsmm_upstream_avg': 341.66227083333337, 'xsmm_upstream_best': 335.941}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0267306945204029, 'speedup_best': 0.9775751045048328, 'xsmm_local_avg': 736.4980416666667, 'xsmm_local_best': 730.3489999999999, 'xsmm_upstream_avg': 756.1851458333334, 'xsmm_upstream_best': 713.971}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0056855941375624, 'speedup_best': 1.0071325388226795, 'xsmm_local_avg': 44.483770833333324, 'xsmm_local_best': 44.304, 'xsmm_upstream_avg': 44.736687499999995, 'xsmm_upstream_best': 44.62}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 0.9744258968113286, 'speedup_best': 0.9742846193152784, 'xsmm_local_avg': 78.5926875, 'xsmm_local_best': 78.28, 'xsmm_upstream_avg': 76.58274999999999, 'xsmm_upstream_best': 76.267}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0064965408109203, 'speedup_best': 1.0113820311374404, 'xsmm_local_avg': 118.7266458333334, 'xsmm_local_best': 117.993, 'xsmm_upstream_avg': 119.49795833333333, 'xsmm_upstream_best': 119.336}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.0309979832006093, 'speedup_best': 1.0305775329126494, 'xsmm_local_avg': 156.6425833333333, 'xsmm_local_best': 156.095, 'xsmm_upstream_avg': 161.4981875, 'xsmm_upstream_best': 160.868}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 1.016934830200693, 'speedup_best': 1.0157258431051723, 'xsmm_local_avg': 198.86160416666675, 'xsmm_local_best': 198.018, 'xsmm_upstream_avg': 202.22929166666668, 'xsmm_upstream_best': 201.132}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.0208933487583531, 'speedup_best': 1.01577089643778, 'xsmm_local_avg': 240.15816666666663, 'xsmm_local_best': 239.682, 'xsmm_upstream_avg': 245.175875, 'xsmm_upstream_best': 243.462}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9486907371385089, 'speedup_best': 0.9467563979306872, 'xsmm_local_avg': 65.68502083333335, 'xsmm_local_best': 65.529, 'xsmm_upstream_avg': 62.314770833333334, 'xsmm_upstream_best': 62.04}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 0.9947665806929764, 'speedup_best': 0.9981695970062742, 'xsmm_local_avg': 98.89168749999999, 'xsmm_local_best': 98.339, 'xsmm_upstream_avg': 98.37414583333334, 'xsmm_upstream_best': 98.15899999999999}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 0.9827755775209073, 'speedup_best': 0.9830125792925493, 'xsmm_local_avg': 65.30697916666666, 'xsmm_local_best': 65.107, 'xsmm_upstream_avg': 64.18210416666669, 'xsmm_upstream_best': 64.001}
