{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.00312915149471, 'speedup_best': 1.003067996131657, 'xsmm_local_avg': 30.266458333333336, 'xsmm_local_best': 29.987, 'xsmm_upstream_avg': 30.361166666666666, 'xsmm_upstream_best': 30.079}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.013530365742441, 'speedup_best': 1.0133404906755736, 'xsmm_local_avg': 50.48520833333334, 'xsmm_local_best': 50.298, 'xsmm_upstream_avg': 51.168291666666676, 'xsmm_upstream_best': 50.969}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.036885831078515, 'speedup_best': 1.0368415524394727, 'xsmm_local_avg': 76.31035416666667, 'xsmm_local_best': 76.164, 'xsmm_upstream_avg': 79.12512499999998, 'xsmm_upstream_best': 78.97}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.102924179888751, 'speedup_best': 1.102486792071878, 'xsmm_local_avg': 149.23343749999995, 'xsmm_local_best': 148.585, 'xsmm_upstream_avg': 164.59316666666663, 'xsmm_upstream_best': 163.813}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.0240195819631044, 'speedup_best': 1.0203832042397065, 'xsmm_local_avg': 377.24341666666675, 'xsmm_local_best': 375.309, 'xsmm_upstream_avg': 386.3046458333333, 'xsmm_upstream_best': 382.959}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0493165675271185, 'speedup_best': 1.0289905874246839, 'xsmm_local_avg': 832.4615416666667, 'xsmm_local_best': 830.1659999999999, 'xsmm_upstream_avg': 873.5156875000001, 'xsmm_upstream_best': 854.233}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.000633947221097, 'speedup_best': 1.0054537571594824, 'xsmm_local_avg': 44.69352083333333, 'xsmm_local_best': 43.823, 'xsmm_upstream_avg': 44.72185416666667, 'xsmm_upstream_best': 44.062}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.0276338560120328, 'speedup_best': 1.0282798151722525, 'xsmm_local_avg': 102.94060416666667, 'xsmm_local_best': 102.582, 'xsmm_upstream_avg': 105.78525, 'xsmm_upstream_best': 105.483}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 0.9945313321413796, 'speedup_best': 0.9942436178538397, 'xsmm_local_avg': 155.7432916666666, 'xsmm_local_best': 154.611, 'xsmm_upstream_avg': 154.89158333333336, 'xsmm_upstream_best': 153.721}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 0.9946323018058065, 'speedup_best': 0.9937178125563594, 'xsmm_local_avg': 200.3225208333334, 'xsmm_local_best': 199.612, 'xsmm_upstream_avg': 199.24725000000004, 'xsmm_upstream_best': 198.358}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 1.0011519802854842, 'speedup_best': 1.0020559530489128, 'xsmm_local_avg': 245.0309583333333, 'xsmm_local_best': 244.169, 'xsmm_upstream_avg': 245.31322916666662, 'xsmm_upstream_best': 244.671}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.0009963952465064, 'speedup_best': 1.0036327485300476, 'xsmm_local_avg': 295.6281666666667, 'xsmm_local_best': 293.717, 'xsmm_upstream_avg': 295.9227291666667, 'xsmm_upstream_best': 294.784}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0175313930925762, 'speedup_best': 1.017840692348614, 'xsmm_local_avg': 77.28279166666668, 'xsmm_local_best': 77.071, 'xsmm_upstream_avg': 78.63766666666669, 'xsmm_upstream_best': 78.44600000000003}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 0.9971483901955147, 'speedup_best': 0.9996286697868721, 'xsmm_local_avg': 130.29920833333335, 'xsmm_local_best': 129.265, 'xsmm_upstream_avg': 129.92764583333334, 'xsmm_upstream_best': 129.217}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 1.005841360244165, 'speedup_best': 1.0067074678536105, 'xsmm_local_avg': 64.93564583333334, 'xsmm_local_best': 64.704, 'xsmm_upstream_avg': 65.31495833333335, 'xsmm_upstream_best': 65.138}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 0.9914057221011616, 'speedup_best': 0.9934189534141671, 'xsmm_local_avg': 176.5733958333333, 'xsmm_local_best': 175.50400000000002, 'xsmm_upstream_avg': 175.05587500000004, 'xsmm_upstream_best': 174.349}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'speedup_avg': 1.023322513867135, 'speedup_best': 1.0252591257323118, 'xsmm_local_avg': 89.23602083333331, 'xsmm_local_best': 88.76, 'xsmm_upstream_avg': 91.31722916666666, 'xsmm_upstream_best': 91.002}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'speedup_avg': 0.9945375682759625, 'speedup_best': 0.9916558374940154, 'xsmm_local_avg': 117.44616666666666, 'xsmm_local_best': 116.968, 'xsmm_upstream_avg': 116.80462500000006, 'xsmm_upstream_best': 115.992}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_32_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9987428483152524, 'speedup_best': 0.9925738144944825, 'xsmm_local_avg': 34.25402083333334, 'xsmm_local_best': 33.53, 'xsmm_upstream_avg': 34.21095833333334, 'xsmm_upstream_best': 33.281}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 64, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_row/q_16/r_64_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9934494780906534, 'speedup_best': 0.9925586947871071, 'xsmm_local_avg': 51.0964375, 'xsmm_local_best': 50.26, 'xsmm_upstream_avg': 50.76172916666669, 'xsmm_upstream_best': 49.886}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9956664891427501, 'speedup_best': 0.9940751925882324, 'xsmm_local_avg': 78.54966666666668, 'xsmm_local_best': 78.146, 'xsmm_upstream_avg': 78.20927083333332, 'xsmm_upstream_best': 77.683}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 256, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_256_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0224267740432524, 'speedup_best': 1.0222712933753944, 'xsmm_local_avg': 127.03472916666671, 'xsmm_local_best': 126.8, 'xsmm_upstream_avg': 129.88370833333332, 'xsmm_upstream_best': 129.624}
