{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.0034525757117903, 'speedup_best': 1.0431980491203623, 'xsmm_local_avg': 5.997937499999998, 'xsmm_local_best': 5.741, 'xsmm_upstream_avg': 6.018645833333334, 'xsmm_upstream_best': 5.989}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0241491604889044, 'speedup_best': 1.0149566257852227, 'xsmm_local_avg': 3.4481874999999995, 'xsmm_local_best': 3.343, 'xsmm_upstream_avg': 3.531458333333333, 'xsmm_upstream_best': 3.393}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9973203074755768, 'speedup_best': 0.9955476402493321, 'xsmm_local_avg': 6.802708333333332, 'xsmm_local_best': 6.738, 'xsmm_upstream_avg': 6.784479166666666, 'xsmm_upstream_best': 6.708}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9672903028171409, 'speedup_best': 0.9694163860830528, 'xsmm_local_avg': 3.6724583333333345, 'xsmm_local_best': 3.564, 'xsmm_upstream_avg': 3.552333333333334, 'xsmm_upstream_best': 3.455}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0009022367077454, 'speedup_best': 1.0062165429114143, 'xsmm_local_avg': 5.957416666666666, 'xsmm_local_best': 5.791, 'xsmm_upstream_avg': 5.962791666666667, 'xsmm_upstream_best': 5.827}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0033189980338466, 'speedup_best': 1.0059793962970969, 'xsmm_local_avg': 14.02908333333333, 'xsmm_local_best': 13.881, 'xsmm_upstream_avg': 14.075645833333333, 'xsmm_upstream_best': 13.964}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0066749256165088, 'speedup_best': 1.002163245924128, 'xsmm_local_avg': 19.675625000000007, 'xsmm_local_best': 18.953, 'xsmm_upstream_avg': 19.80695833333333, 'xsmm_upstream_best': 18.994}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0148853330801009, 'speedup_best': 1.0186367614170422, 'xsmm_local_avg': 31.591499999999996, 'xsmm_local_best': 30.853, 'xsmm_upstream_avg': 32.06175, 'xsmm_upstream_best': 31.428}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0052131713002683, 'speedup_best': 1.0170467043038345, 'xsmm_local_avg': 28.169833333333326, 'xsmm_local_best': 27.278, 'xsmm_upstream_avg': 28.3166875, 'xsmm_upstream_best': 27.743}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0079027387575854, 'speedup_best': 1.0084450857239857, 'xsmm_local_avg': 23.781312500000002, 'xsmm_local_best': 23.564, 'xsmm_upstream_avg': 23.969250000000002, 'xsmm_upstream_best': 23.763}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0033784863576154, 'speedup_best': 1.0006306254658028, 'xsmm_local_avg': 17.599104166666663, 'xsmm_local_best': 17.443, 'xsmm_upstream_avg': 17.6585625, 'xsmm_upstream_best': 17.454}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 1.0036656980755339, 'speedup_best': 0.990865482751582, 'xsmm_local_avg': 20.533833333333334, 'xsmm_local_best': 19.596, 'xsmm_upstream_avg': 20.60910416666667, 'xsmm_upstream_best': 19.417}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.017118749084238, 'speedup_best': 1.0207649217693644, 'xsmm_local_avg': 31.7074375, 'xsmm_local_best': 31.062, 'xsmm_upstream_avg': 32.25022916666666, 'xsmm_upstream_best': 31.707}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9895231997280614, 'speedup_best': 0.9841367794395238, 'xsmm_local_avg': 28.43783333333334, 'xsmm_local_best': 27.548, 'xsmm_upstream_avg': 28.139895833333327, 'xsmm_upstream_best': 27.111}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0156026880943227, 'speedup_best': 1.018803272369042, 'xsmm_local_avg': 23.63508333333333, 'xsmm_local_best': 23.34699999999998, 'xsmm_upstream_avg': 24.003854166666656, 'xsmm_upstream_best': 23.786}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9979877403771612, 'speedup_best': 0.9898362032759342, 'xsmm_local_avg': 36.27762499999999, 'xsmm_local_best': 35.715, 'xsmm_upstream_avg': 36.20462500000001, 'xsmm_upstream_best': 35.352}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0041840036985665, 'speedup_best': 1.003226718168543, 'xsmm_local_avg': 43.26000000000001, 'xsmm_local_best': 42.458, 'xsmm_upstream_avg': 43.441, 'xsmm_upstream_best': 42.595}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0263051940135177, 'speedup_best': 1.0308949887549739, 'xsmm_local_avg': 70.060625, 'xsmm_local_best': 69.364, 'xsmm_upstream_avg': 71.90358333333332, 'xsmm_upstream_best': 71.507}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0373337719351499, 'speedup_best': 1.0455628748928876, 'xsmm_local_avg': 75.49241666666667, 'xsmm_local_best': 74.688, 'xsmm_upstream_avg': 78.3108333333333, 'xsmm_upstream_best': 78.091}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0219660393574401, 'speedup_best': 1.0308126706886176, 'xsmm_local_avg': 65.93416666666666, 'xsmm_local_best': 64.811, 'xsmm_upstream_avg': 67.38247916666667, 'xsmm_upstream_best': 66.808}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 1.0108645074670788, 'speedup_best': 1.0256643404332704, 'xsmm_local_avg': 45.30999999999998, 'xsmm_local_best': 43.991, 'xsmm_upstream_avg': 45.802270833333324, 'xsmm_upstream_best': 45.12}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 1.0005248340858668, 'speedup_best': 1.0000232482447575, 'xsmm_local_avg': 43.50581250000001, 'xsmm_local_best': 43.014, 'xsmm_upstream_avg': 43.52864583333334, 'xsmm_upstream_best': 43.015}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 1.0124864467122643, 'speedup_best': 1.01242455510481, 'xsmm_local_avg': 71.15047916666667, 'xsmm_local_best': 70.747, 'xsmm_upstream_avg': 72.03889583333333, 'xsmm_upstream_best': 71.626}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m132.txt', 'speedup_avg': 1.0387749735713852, 'speedup_best': 1.0455706377296359, 'xsmm_local_avg': 77.96158333333332, 'xsmm_local_best': 77.133, 'xsmm_upstream_avg': 80.98454166666666, 'xsmm_upstream_best': 80.648}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m460.txt', 'speedup_avg': 1.0243430348527889, 'speedup_best': 1.0221204029615245, 'xsmm_local_avg': 66.61470833333333, 'xsmm_local_best': 65.912, 'xsmm_upstream_avg': 68.23631250000003, 'xsmm_upstream_best': 67.37}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0102437916943172, 'speedup_best': 1.0083367085189685, 'xsmm_local_avg': 59.647916666666674, 'xsmm_local_best': 59.256, 'xsmm_upstream_avg': 60.2589375, 'xsmm_upstream_best': 59.75}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0342405039619145, 'speedup_best': 1.0371430782326088, 'xsmm_local_avg': 77.98208333333332, 'xsmm_local_best': 77.538, 'xsmm_upstream_avg': 80.65222916666666, 'xsmm_upstream_best': 80.418}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0413180882581614, 'speedup_best': 1.0412050921109004, 'xsmm_local_avg': 131.0332083333333, 'xsmm_local_best': 130.712, 'xsmm_upstream_avg': 136.44725000000003, 'xsmm_upstream_best': 136.098}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.1610160725937937, 'speedup_best': 1.1638488433354088, 'xsmm_local_avg': 168.38445833333327, 'xsmm_local_best': 167.032, 'xsmm_upstream_avg': 195.49706249999988, 'xsmm_upstream_best': 194.4}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0019183533064697, 'speedup_best': 1.0014589959894895, 'xsmm_local_avg': 144.8073541666666, 'xsmm_local_best': 144.62, 'xsmm_upstream_avg': 145.08514583333337, 'xsmm_upstream_best': 144.831}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m0.txt', 'speedup_avg': 1.0263919490861213, 'speedup_best': 1.0305184503409106, 'xsmm_local_avg': 83.06510416666664, 'xsmm_local_best': 82.573, 'xsmm_upstream_avg': 85.25735416666667, 'xsmm_upstream_best': 85.093}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m3.txt', 'speedup_avg': 1.0040648992935735, 'speedup_best': 1.0055568766348357, 'xsmm_local_avg': 80.28079166666666, 'xsmm_local_best': 79.901, 'xsmm_upstream_avg': 80.60712500000001, 'xsmm_upstream_best': 80.345}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m6.txt', 'speedup_avg': 1.043581273689367, 'speedup_best': 1.0440930760151448, 'xsmm_local_avg': 130.893375, 'xsmm_local_best': 130.474, 'xsmm_upstream_avg': 136.59787499999996, 'xsmm_upstream_best': 136.227}
