{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0028519601493093, 'speedup_best': 1.0024327611839439, 'xsmm_local_avg': 44.51616666666666, 'xsmm_local_best': 44.394, 'xsmm_upstream_avg': 44.643125000000005, 'xsmm_upstream_best': 44.502}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 0.9801958547530882, 'speedup_best': 0.9792957475466615, 'xsmm_local_avg': 78.21910416666667, 'xsmm_local_best': 77.955, 'xsmm_upstream_avg': 76.67004166666668, 'xsmm_upstream_best': 76.341}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0090092321137893, 'speedup_best': 1.0132907847164463, 'xsmm_local_avg': 118.61675000000001, 'xsmm_local_best': 117.826, 'xsmm_upstream_avg': 119.68539583333335, 'xsmm_upstream_best': 119.392}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.0290750769827728, 'speedup_best': 1.0279809872778753, 'xsmm_local_avg': 156.56235416666667, 'xsmm_local_best': 156.106, 'xsmm_upstream_avg': 161.11441666666664, 'xsmm_upstream_best': 160.474}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 1.018233601601968, 'speedup_best': 1.0148504084368124, 'xsmm_local_avg': 198.42258333333336, 'xsmm_local_best': 197.705, 'xsmm_upstream_avg': 202.04054166666666, 'xsmm_upstream_best': 200.641}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.0171603743098192, 'speedup_best': 1.011860146157021, 'xsmm_local_avg': 240.33566666666664, 'xsmm_local_best': 239.879, 'xsmm_upstream_avg': 244.4599166666666, 'xsmm_upstream_best': 242.724}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9475355935633275, 'speedup_best': 0.9459364604632708, 'xsmm_local_avg': 65.68222916666666, 'xsmm_local_best': 65.534, 'xsmm_upstream_avg': 62.23624999999999, 'xsmm_upstream_best': 61.991}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 0.9944410747606471, 'speedup_best': 1.0001120391118354, 'xsmm_local_avg': 98.92124999999999, 'xsmm_local_best': 98.18, 'xsmm_upstream_avg': 98.37135416666665, 'xsmm_upstream_best': 98.191}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 0.9778471317155095, 'speedup_best': 0.9776875028635135, 'xsmm_local_avg': 65.61885416666668, 'xsmm_local_best': 65.479, 'xsmm_upstream_avg': 64.16520833333333, 'xsmm_upstream_best': 64.018}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 1.028590108967961, 'speedup_best': 1.0322356814373554, 'xsmm_local_avg': 136.3474166666667, 'xsmm_local_best': 135.471, 'xsmm_upstream_avg': 140.24560416666668, 'xsmm_upstream_best': 139.838}
