{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0139480969783339, 'speedup_best': 1.0082751396648044, 'xsmm_local_avg': 28.82860416666667, 'xsmm_local_best': 28.64, 'xsmm_upstream_avg': 29.230708333333336, 'xsmm_upstream_best': 28.877}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0016995455034037, 'speedup_best': 1.0018886899359807, 'xsmm_local_avg': 41.08941666666667, 'xsmm_local_best': 40.769, 'xsmm_upstream_avg': 41.159249999999986, 'xsmm_upstream_best': 40.846}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9319698436620216, 'speedup_best': 0.9306272182289956, 'xsmm_local_avg': 67.266125, 'xsmm_local_best': 67.058, 'xsmm_upstream_avg': 62.690000000000005, 'xsmm_upstream_best': 62.406}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0052693457055337, 'speedup_best': 1.0046542553191489, 'xsmm_local_avg': 135.8960625, 'xsmm_local_best': 135.36, 'xsmm_upstream_avg': 136.61214583333333, 'xsmm_upstream_best': 135.99}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.0013233267952306, 'speedup_best': 1.002358774258849, 'xsmm_local_avg': 343.1062291666665, 'xsmm_local_best': 340.855, 'xsmm_upstream_avg': 343.5602708333333, 'xsmm_upstream_best': 341.659}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0650071084133272, 'speedup_best': 1.0376907395241417, 'xsmm_local_avg': 748.6873541666668, 'xsmm_local_best': 738.245, 'xsmm_upstream_avg': 797.3573541666664, 'xsmm_upstream_best': 766.0699999999999}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.023626663405462, 'speedup_best': 1.0208217140732478, 'xsmm_local_avg': 27.25645833333333, 'xsmm_local_best': 26.895, 'xsmm_upstream_avg': 27.9004375, 'xsmm_upstream_best': 27.455}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.0331396309222303, 'speedup_best': 1.0348402621339339, 'xsmm_local_avg': 39.47564583333334, 'xsmm_local_best': 39.064, 'xsmm_upstream_avg': 40.78385416666668, 'xsmm_upstream_best': 40.425}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 0.9514267156258991, 'speedup_best': 0.9513120162807192, 'xsmm_local_avg': 65.20731250000001, 'xsmm_local_best': 64.862, 'xsmm_upstream_avg': 62.03997916666665, 'xsmm_upstream_best': 61.704}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 0.9421510879075253, 'speedup_best': 0.9413443376858011, 'xsmm_local_avg': 146.46522916666666, 'xsmm_local_best': 146.124, 'xsmm_upstream_avg': 137.992375, 'xsmm_upstream_best': 137.553}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.1361218010377916, 'speedup_best': 1.1295537557567095, 'xsmm_local_avg': 315.78275, 'xsmm_local_best': 314.85, 'xsmm_upstream_avg': 358.7676666666667, 'xsmm_upstream_best': 355.64}
