{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.982036244114365, 'speedup_best': 1.0016264467811484, 'xsmm_local_avg': 27.242354166666672, 'xsmm_local_best': 26.438, 'xsmm_upstream_avg': 26.75297916666666, 'xsmm_upstream_best': 26.481}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 0.9984672892477633, 'speedup_best': 1.000741386829481, 'xsmm_local_avg': 23.107208333333332, 'xsmm_local_best': 22.93, 'xsmm_upstream_avg': 23.07179166666666, 'xsmm_upstream_best': 22.947}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9961020351703537, 'speedup_best': 1.0076366909608292, 'xsmm_local_avg': 35.24275000000001, 'xsmm_local_best': 34.439, 'xsmm_upstream_avg': 35.10537499999999, 'xsmm_upstream_best': 34.702}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.998398806662471, 'speedup_best': 0.9860136499086801, 'xsmm_local_avg': 42.03895833333334, 'xsmm_local_best': 41.612, 'xsmm_upstream_avg': 41.97164583333335, 'xsmm_upstream_best': 41.03}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0090571563955837, 'speedup_best': 1.0101490273848757, 'xsmm_local_avg': 68.9395, 'xsmm_local_best': 68.578, 'xsmm_upstream_avg': 69.56389583333333, 'xsmm_upstream_best': 69.274}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9905665693552059, 'speedup_best': 0.990739035491594, 'xsmm_local_avg': 76.15866666666666, 'xsmm_local_best': 76.018, 'xsmm_upstream_avg': 75.44022916666667, 'xsmm_upstream_best': 75.314}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0069642826048069, 'speedup_best': 1.0131315310872042, 'xsmm_local_avg': 65.80302083333333, 'xsmm_local_best': 64.882, 'xsmm_upstream_avg': 66.26129166666666, 'xsmm_upstream_best': 65.734}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 1.0027179052481487, 'speedup_best': 1.001531393568147, 'xsmm_local_avg': 42.51895833333334, 'xsmm_local_best': 41.792, 'xsmm_upstream_avg': 42.63452083333332, 'xsmm_upstream_best': 41.856}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 1.004896940882726, 'speedup_best': 1.0042927770408778, 'xsmm_local_avg': 41.78629166666666, 'xsmm_local_best': 41.465, 'xsmm_upstream_avg': 41.99091666666667, 'xsmm_upstream_best': 41.643}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 1.011838995720926, 'speedup_best': 1.0134828831727185, 'xsmm_local_avg': 68.72591666666665, 'xsmm_local_best': 68.383, 'xsmm_upstream_avg': 69.53956250000003, 'xsmm_upstream_best': 69.305}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m132.txt', 'speedup_avg': 1.0090967163072841, 'speedup_best': 1.0084527220630373, 'xsmm_local_avg': 76.90275, 'xsmm_local_best': 76.78, 'xsmm_upstream_avg': 77.6023125, 'xsmm_upstream_best': 77.429}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m460.txt', 'speedup_avg': 1.0036824436462468, 'speedup_best': 1.0033080071900065, 'xsmm_local_avg': 66.71860416666668, 'xsmm_local_best': 66.203, 'xsmm_upstream_avg': 66.96429166666668, 'xsmm_upstream_best': 66.422}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.004221722624022, 'speedup_best': 1.0067666860326032, 'xsmm_local_avg': 58.93624999999998, 'xsmm_local_best': 58.522, 'xsmm_upstream_avg': 59.185062499999994, 'xsmm_upstream_best': 58.918}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0102643357036427, 'speedup_best': 1.0111910891609308, 'xsmm_local_avg': 76.35256249999999, 'xsmm_local_best': 76.132, 'xsmm_upstream_avg': 77.13627083333336, 'xsmm_upstream_best': 76.984}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0221596561549235, 'speedup_best': 1.0222899393639402, 'xsmm_local_avg': 129.41875, 'xsmm_local_best': 129.296, 'xsmm_upstream_avg': 132.286625, 'xsmm_upstream_best': 132.178}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0112886145172442, 'speedup_best': 1.010643027397627, 'xsmm_local_avg': 187.30339583333333, 'xsmm_local_best': 186.695, 'xsmm_upstream_avg': 189.41779166666663, 'xsmm_upstream_best': 188.682}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0028257246670584, 'speedup_best': 1.0026054616639937, 'xsmm_local_avg': 142.86158333333327, 'xsmm_local_best': 142.777, 'xsmm_upstream_avg': 143.2652708333333, 'xsmm_upstream_best': 143.149}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m0.txt', 'speedup_avg': 0.9947960739119583, 'speedup_best': 0.9941202533919312, 'xsmm_local_avg': 83.80691666666667, 'xsmm_local_best': 83.507, 'xsmm_upstream_avg': 83.37079166666666, 'xsmm_upstream_best': 83.016}
