{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0128686782029102, 'speedup_best': 1.021367027788686, 'xsmm_local_avg': 44.19645833333334, 'xsmm_local_best': 43.291, 'xsmm_upstream_avg': 44.765208333333334, 'xsmm_upstream_best': 44.216}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.0011999822224855, 'speedup_best': 1.00081034903588, 'xsmm_local_avg': 102.65777083333336, 'xsmm_local_best': 102.425, 'xsmm_upstream_avg': 102.78095833333334, 'xsmm_upstream_best': 102.508}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 0.9997568854657289, 'speedup_best': 1.0015869622950713, 'xsmm_local_avg': 155.5336875, 'xsmm_local_best': 154.383, 'xsmm_upstream_avg': 155.49587499999998, 'xsmm_upstream_best': 154.628}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 0.997752028334493, 'speedup_best': 0.9964070300280342, 'xsmm_local_avg': 200.662375, 'xsmm_local_best': 200.113, 'xsmm_upstream_avg': 200.21129166666665, 'xsmm_upstream_best': 199.394}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 0.9999274593929006, 'speedup_best': 1.0005984075032972, 'xsmm_local_avg': 246.41370833333337, 'xsmm_local_best': 245.652, 'xsmm_upstream_avg': 246.39583333333326, 'xsmm_upstream_best': 245.79899999999998}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.0051639887276445, 'speedup_best': 1.0060897315817978, 'xsmm_local_avg': 294.94722916666666, 'xsmm_local_best': 293.609, 'xsmm_upstream_avg': 296.4703333333333, 'xsmm_upstream_best': 295.39700000000005}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0079317459273218, 'speedup_best': 1.0049710024855012, 'xsmm_local_avg': 78.8524375, 'xsmm_local_best': 78.455, 'xsmm_upstream_avg': 79.47787500000001, 'xsmm_upstream_best': 78.845}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 1.004024123308568, 'speedup_best': 1.005259087393658, 'xsmm_local_avg': 130.26129166666664, 'xsmm_local_best': 129.3, 'xsmm_upstream_avg': 130.78547916666665, 'xsmm_upstream_best': 129.98}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 1.0160769170910762, 'speedup_best': 1.0131420624130765, 'xsmm_local_avg': 64.52185416666666, 'xsmm_local_best': 63.993, 'xsmm_upstream_avg': 65.55916666666667, 'xsmm_upstream_best': 64.834}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 1.003208485280109, 'speedup_best': 1.0022741167798963, 'xsmm_local_avg': 175.75141666666664, 'xsmm_local_best': 175.013, 'xsmm_upstream_avg': 176.31531249999998, 'xsmm_upstream_best': 175.411}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'speedup_avg': 1.0558635680949526, 'speedup_best': 1.0554999203404876, 'xsmm_local_avg': 88.06835416666667, 'xsmm_local_best': 87.874, 'xsmm_upstream_avg': 92.98816666666666, 'xsmm_upstream_best': 92.751}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'speedup_avg': 1.0027956546526744, 'speedup_best': 1.0037183936539416, 'xsmm_local_avg': 117.59320833333334, 'xsmm_local_best': 116.98599999999999, 'xsmm_upstream_avg': 117.92195833333334, 'xsmm_upstream_best': 117.421}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.1_uniq_64.txt', 'speedup_avg': 0.9996046686519743, 'speedup_best': 1.0002228056069515, 'xsmm_local_avg': 103.552375, 'xsmm_local_best': 103.229, 'xsmm_upstream_avg': 103.51143749999999, 'xsmm_upstream_best': 103.252}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.01_uniq_64.txt', 'speedup_avg': 1.0086389672545615, 'speedup_best': 1.005344808062507, 'xsmm_local_avg': 44.52210416666665, 'xsmm_local_best': 44.155, 'xsmm_upstream_avg': 44.90672916666666, 'xsmm_upstream_best': 44.391}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.2_uniq_64.txt', 'speedup_avg': 1.0025865200405328, 'speedup_best': 1.005949753246668, 'xsmm_local_avg': 153.19006249999998, 'xsmm_local_best': 151.77099999999996, 'xsmm_upstream_avg': 153.5862916666667, 'xsmm_upstream_best': 152.67399999999998}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.3_uniq_64.txt', 'speedup_avg': 1.0044317707047452, 'speedup_best': 1.0019085107651935, 'xsmm_local_avg': 202.3504583333333, 'xsmm_local_best': 201.204, 'xsmm_upstream_avg': 203.24722916666676, 'xsmm_upstream_best': 201.588}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.4_uniq_64.txt', 'speedup_avg': 0.9991678066219541, 'speedup_best': 0.9980061318551908, 'xsmm_local_avg': 246.88772916666667, 'xsmm_local_best': 246.255, 'xsmm_upstream_avg': 246.6822708333334, 'xsmm_upstream_best': 245.764}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.0372399094669, 'speedup_best': 1.0414901847650768, 'xsmm_local_avg': 76.98841666666668, 'xsmm_local_best': 76.259, 'xsmm_upstream_avg': 79.85545833333333, 'xsmm_upstream_best': 79.423}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.5_uniq_64.txt', 'speedup_avg': 1.0035052566189446, 'speedup_best': 1.0040107789684778, 'xsmm_local_avg': 287.9841458333333, 'xsmm_local_best': 287.226, 'xsmm_upstream_avg': 288.99360416666667, 'xsmm_upstream_best': 288.378}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.15_uniq_64.txt', 'speedup_avg': 0.9994100027087026, 'speedup_best': 1.00010694125106, 'xsmm_local_avg': 131.67433333333335, 'xsmm_local_best': 130.913, 'xsmm_upstream_avg': 131.5966458333333, 'xsmm_upstream_best': 130.92700000000002}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.025_uniq_64.txt', 'speedup_avg': 1.0079204964912991, 'speedup_best': 1.0124180424994076, 'xsmm_local_avg': 64.20052083333333, 'xsmm_local_best': 63.295, 'xsmm_upstream_avg': 64.70902083333333, 'xsmm_upstream_best': 64.081}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.25_uniq_64.txt', 'speedup_avg': 1.0019309725885222, 'speedup_best': 1.0003036437246964, 'xsmm_local_avg': 179.0224791666666, 'xsmm_local_best': 177.84, 'xsmm_upstream_avg': 179.36816666666672, 'xsmm_upstream_best': 177.894}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.075_uniq_64.txt', 'speedup_avg': 1.0111437863231916, 'speedup_best': 1.0109736500319193, 'xsmm_local_avg': 90.99802083333333, 'xsmm_local_best': 90.854, 'xsmm_upstream_avg': 92.01208333333334, 'xsmm_upstream_best': 91.851}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.125_uniq_64.txt', 'speedup_avg': 0.9981971665847609, 'speedup_best': 0.9993399962285499, 'xsmm_local_avg': 117.13043749999993, 'xsmm_local_best': 116.666, 'xsmm_upstream_avg': 116.91927083333336, 'xsmm_upstream_best': 116.589}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_row/q_16/r_32_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0049460055660968, 'speedup_best': 1.0016202848290172, 'xsmm_local_avg': 35.377874999999996, 'xsmm_local_best': 35.179, 'xsmm_upstream_avg': 35.55285416666667, 'xsmm_upstream_best': 35.236}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 64, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_row/q_16/r_64_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0109474776403282, 'speedup_best': 1.0139891785538613, 'xsmm_local_avg': 51.24087499999999, 'xsmm_local_best': 50.825, 'xsmm_upstream_avg': 51.80183333333334, 'xsmm_upstream_best': 51.536}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_row/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0157241613629717, 'speedup_best': 1.016668588487015, 'xsmm_local_avg': 78.24079166666665, 'xsmm_local_best': 78.051, 'xsmm_upstream_avg': 79.47106249999997, 'xsmm_upstream_best': 79.352}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 256, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_row/q_16/r_256_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.998196481024883, 'speedup_best': 0.9979835533570686, 'xsmm_local_avg': 127.18191666666668, 'xsmm_local_best': 126.956, 'xsmm_upstream_avg': 126.9525416666666, 'xsmm_upstream_best': 126.7}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 512, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_row/q_16/r_512_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.004104093308077, 'speedup_best': 1.004370965815331, 'xsmm_local_avg': 226.38983333333337, 'xsmm_local_best': 226.037, 'xsmm_upstream_avg': 227.31895833333337, 'xsmm_upstream_best': 227.025}
