{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 1.002186085181668, 'speedup_best': 0.9910539119516597, 'xsmm_local_avg': 26.43614583333334, 'xsmm_local_best': 25.486, 'xsmm_upstream_avg': 26.493937500000005, 'xsmm_upstream_best': 25.258}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 0.9930940738000773, 'speedup_best': 0.9994707361178495, 'xsmm_local_avg': 23.035770833333334, 'xsmm_local_best': 22.673, 'xsmm_upstream_avg': 22.876687500000003, 'xsmm_upstream_best': 22.661}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0109401655609307, 'speedup_best': 1.0075784593437944, 'xsmm_local_avg': 34.425895833333314, 'xsmm_local_best': 33.648, 'xsmm_upstream_avg': 34.80252083333333, 'xsmm_upstream_best': 33.903}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9790229992590544, 'speedup_best': 0.9775984348251405, 'xsmm_local_avg': 41.75406249999999, 'xsmm_local_best': 40.89, 'xsmm_upstream_avg': 40.8781875, 'xsmm_upstream_best': 39.974}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9966798147046747, 'speedup_best': 0.9968885577807968, 'xsmm_local_avg': 69.28579166666664, 'xsmm_local_best': 68.457, 'xsmm_upstream_avg': 69.05575, 'xsmm_upstream_best': 68.244}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.981022001613543, 'speedup_best': 0.9808093064971379, 'xsmm_local_avg': 76.17812499999998, 'xsmm_local_best': 75.818, 'xsmm_upstream_avg': 74.73241666666667, 'xsmm_upstream_best': 74.363}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0076473399990733, 'speedup_best': 1.0120117792932426, 'xsmm_local_avg': 65.63829166666667, 'xsmm_local_best': 64.52, 'xsmm_upstream_avg': 66.14025000000001, 'xsmm_upstream_best': 65.295}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 0.99739240682171, 'speedup_best': 0.9951234745844143, 'xsmm_local_avg': 42.59195833333334, 'xsmm_local_best': 41.628, 'xsmm_upstream_avg': 42.48089583333333, 'xsmm_upstream_best': 41.425}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 0.9965565860290697, 'speedup_best': 1.0124929435731291, 'xsmm_local_avg': 42.200125, 'xsmm_local_best': 40.743, 'xsmm_upstream_avg': 42.0548125, 'xsmm_upstream_best': 41.252}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 0.9943075450364944, 'speedup_best': 0.9935517678054178, 'xsmm_local_avg': 69.68654166666666, 'xsmm_local_best': 68.701, 'xsmm_upstream_avg': 69.2898541666667, 'xsmm_upstream_best': 68.258}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m132.txt', 'speedup_avg': 1.0069495696270667, 'speedup_best': 1.0076436410587475, 'xsmm_local_avg': 78.02341666666668, 'xsmm_local_best': 77.45, 'xsmm_upstream_avg': 78.56564583333332, 'xsmm_upstream_best': 78.042}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m460.txt', 'speedup_avg': 1.014889703219826, 'speedup_best': 1.0200463197288303, 'xsmm_local_avg': 66.16429166666666, 'xsmm_local_best': 65.199, 'xsmm_upstream_avg': 67.14945833333333, 'xsmm_upstream_best': 66.506}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0087212316538094, 'speedup_best': 1.0058014685508452, 'xsmm_local_avg': 58.66908333333333, 'xsmm_local_best': 57.744, 'xsmm_upstream_avg': 59.18074999999999, 'xsmm_upstream_best': 58.079}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.994089357397266, 'speedup_best': 0.9934821889519878, 'xsmm_local_avg': 77.98785416666665, 'xsmm_local_best': 77.48, 'xsmm_upstream_avg': 77.52689583333334, 'xsmm_upstream_best': 76.97500000000002}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.030510885894266, 'speedup_best': 1.0306836309871212, 'xsmm_local_avg': 128.77712500000004, 'xsmm_local_best': 128.505, 'xsmm_upstream_avg': 132.70622916666667, 'xsmm_upstream_best': 132.448}
