{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.019144357838732, 'speedup_best': 1.064469395146686, 'xsmm_local_avg': 5.818729166666667, 'xsmm_local_best': 5.522, 'xsmm_upstream_avg': 5.930125000000001, 'xsmm_upstream_best': 5.878}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.021057801903011, 'speedup_best': 1.0367088607594936, 'xsmm_local_avg': 3.308354166666666, 'xsmm_local_best': 3.16, 'xsmm_upstream_avg': 3.3780208333333337, 'xsmm_upstream_best': 3.276}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0472913819782972, 'speedup_best': 1.044642857142857, 'xsmm_local_avg': 6.4489375, 'xsmm_local_best': 6.384, 'xsmm_upstream_avg': 6.753916666666665, 'xsmm_upstream_best': 6.669}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0268589950148792, 'speedup_best': 1.0115625, 'xsmm_local_avg': 3.2973125000000008, 'xsmm_local_best': 3.2, 'xsmm_upstream_avg': 3.385875, 'xsmm_upstream_best': 3.237}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0165504192461123, 'speedup_best': 1.0396881644223954, 'xsmm_local_avg': 5.791645833333334, 'xsmm_local_best': 5.644, 'xsmm_upstream_avg': 5.8875, 'xsmm_upstream_best': 5.868}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.023439529610699, 'speedup_best': 1.025805012270395, 'xsmm_local_avg': 13.552604166666669, 'xsmm_local_best': 13.447, 'xsmm_upstream_avg': 13.870270833333334, 'xsmm_upstream_best': 13.794}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9224500370740232, 'speedup_best': 0.8907025582283313, 'xsmm_local_avg': 21.55035416666667, 'xsmm_local_best': 20.952, 'xsmm_upstream_avg': 19.879125, 'xsmm_upstream_best': 18.662}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9782434832984289, 'speedup_best': 0.9772543406559214, 'xsmm_local_avg': 32.50941666666667, 'xsmm_local_best': 32.138, 'xsmm_upstream_avg': 31.802125, 'xsmm_upstream_best': 31.407}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.929514956887308, 'speedup_best': 0.9143511501801893, 'xsmm_local_avg': 29.82252083333333, 'xsmm_local_best': 29.691, 'xsmm_upstream_avg': 27.720479166666674, 'xsmm_upstream_best': 27.148}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0633726232080254, 'speedup_best': 1.0623747951192861, 'xsmm_local_avg': 22.06887499999999, 'xsmm_local_best': 21.964, 'xsmm_upstream_avg': 23.467437500000003, 'xsmm_upstream_best': 23.334}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0463525585242277, 'speedup_best': 1.0441708019359186, 'xsmm_local_avg': 16.423041666666666, 'xsmm_local_best': 16.323, 'xsmm_upstream_avg': 17.184291666666663, 'xsmm_upstream_best': 17.044}
