{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9440441634205378, 'speedup_best': 0.9510907082700538, 'xsmm_local_avg': 29.383291666666665, 'xsmm_local_best': 28.972, 'xsmm_upstream_avg': 27.73912499999999, 'xsmm_upstream_best': 27.555}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0171056089105133, 'speedup_best': 1.011143961792131, 'xsmm_local_avg': 22.119937500000002, 'xsmm_local_best': 21.985, 'xsmm_upstream_avg': 22.4983125, 'xsmm_upstream_best': 22.23}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.973328481428489, 'speedup_best': 0.971041034739312, 'xsmm_local_avg': 35.324041666666666, 'xsmm_local_best': 34.946, 'xsmm_upstream_avg': 34.38189583333334, 'xsmm_upstream_best': 33.934}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.8713755138477141, 'speedup_best': 0.8693470822158512, 'xsmm_local_avg': 43.47814583333332, 'xsmm_local_best': 43.252, 'xsmm_upstream_avg': 37.88579166666667, 'xsmm_upstream_best': 37.601}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9616576158109624, 'speedup_best': 0.962098862062737, 'xsmm_local_avg': 66.59514583333333, 'xsmm_local_best': 66.436, 'xsmm_upstream_avg': 64.04172916666668, 'xsmm_upstream_best': 63.918}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.8472880616547913, 'speedup_best': 0.8485222019890741, 'xsmm_local_avg': 71.63541666666667, 'xsmm_local_best': 71.39, 'xsmm_upstream_avg': 60.69583333333333, 'xsmm_upstream_best': 60.576}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0184367246371804, 'speedup_best': 1.0163940114150893, 'xsmm_local_avg': 57.90300000000001, 'xsmm_local_best': 57.643, 'xsmm_upstream_avg': 58.97054166666667, 'xsmm_upstream_best': 58.588}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 1.0279409430068263, 'speedup_best': 1.030425425277868, 'xsmm_local_avg': 34.11958333333334, 'xsmm_local_best': 33.919, 'xsmm_upstream_avg': 35.072916666666664, 'xsmm_upstream_best': 34.951}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 0.8758570002365131, 'speedup_best': 0.8741835363876407, 'xsmm_local_avg': 43.4260625, 'xsmm_local_best': 43.174, 'xsmm_upstream_avg': 38.035020833333334, 'xsmm_upstream_best': 37.742}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 0.9557803878497165, 'speedup_best': 0.9557594993562296, 'xsmm_local_avg': 66.92025, 'xsmm_local_best': 66.794, 'xsmm_upstream_avg': 63.96106249999999, 'xsmm_upstream_best': 63.839}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m132.txt', 'speedup_avg': 0.7986238506775373, 'speedup_best': 0.8000224347289604, 'xsmm_local_avg': 71.67039583333333, 'xsmm_local_best': 71.318, 'xsmm_upstream_avg': 57.237687499999986, 'xsmm_upstream_best': 57.056}
