{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9944812125625587, 'speedup_best': 1.0353376503237743, 'xsmm_local_avg': 5.836125000000004, 'xsmm_local_best': 5.405, 'xsmm_upstream_avg': 5.803916666666667, 'xsmm_upstream_best': 5.596}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0333169983916366, 'speedup_best': 1.0015417823003392, 'xsmm_local_avg': 3.3159999999999994, 'xsmm_local_best': 3.243, 'xsmm_upstream_avg': 3.4264791666666663, 'xsmm_upstream_best': 3.248}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.4478091602570986, 'speedup_best': 1.427893447642376, 'xsmm_local_avg': 6.592791666666667, 'xsmm_local_best': 6.532, 'xsmm_upstream_avg': 9.545104166666665, 'xsmm_upstream_best': 9.327}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0233015584808585, 'speedup_best': 1.0133540372670806, 'xsmm_local_avg': 3.304500000000001, 'xsmm_local_best': 3.22, 'xsmm_upstream_avg': 3.3814999999999977, 'xsmm_upstream_best': 3.263}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0048751571762171, 'speedup_best': 1.080431491294474, 'xsmm_local_avg': 5.798958333333332, 'xsmm_local_best': 5.284, 'xsmm_upstream_avg': 5.827229166666666, 'xsmm_upstream_best': 5.709}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.8186150567643204, 'speedup_best': 1.8173810921902525, 'xsmm_local_avg': 13.73552083333333, 'xsmm_local_best': 13.624, 'xsmm_upstream_avg': 24.979625000000002, 'xsmm_upstream_best': 24.76}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.212046543310266, 'speedup_best': 1.2601469756924817, 'xsmm_local_avg': 18.62602083333333, 'xsmm_local_best': 17.69, 'xsmm_upstream_avg': 22.575604166666665, 'xsmm_upstream_best': 22.292}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.6981871078749387, 'speedup_best': 1.7094720955411924, 'xsmm_local_avg': 31.020875000000004, 'xsmm_local_best': 30.479, 'xsmm_upstream_avg': 52.679249999999996, 'xsmm_upstream_best': 52.103}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.5951953796511606, 'speedup_best': 1.6158269980698783, 'xsmm_local_avg': 26.116354166666664, 'xsmm_local_best': 25.387, 'xsmm_upstream_avg': 41.6606875, 'xsmm_upstream_best': 41.021}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.498461895906531, 'speedup_best': 1.484786928681828, 'xsmm_local_avg': 22.775604166666657, 'xsmm_local_best': 22.645, 'xsmm_upstream_avg': 34.128375000000005, 'xsmm_upstream_best': 33.623}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.469610950990455, 'speedup_best': 1.4562169474849342, 'xsmm_local_avg': 16.5023125, 'xsmm_local_best': 16.262, 'xsmm_upstream_avg': 24.25197916666667, 'xsmm_upstream_best': 23.681}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 1.2131252299311586, 'speedup_best': 1.2505267953755907, 'xsmm_local_avg': 18.517770833333337, 'xsmm_local_best': 17.559, 'xsmm_upstream_avg': 22.464375000000008, 'xsmm_upstream_best': 21.958}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.7194977365811597, 'speedup_best': 1.771299381247025, 'xsmm_local_avg': 30.54008333333333, 'xsmm_local_best': 29.414, 'xsmm_upstream_avg': 52.51360416666666, 'xsmm_upstream_best': 52.101}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 1.5707184877350047, 'speedup_best': 1.6007143417850693, 'xsmm_local_avg': 26.514312500000003, 'xsmm_local_best': 25.478, 'xsmm_upstream_avg': 41.646520833333334, 'xsmm_upstream_best': 40.783}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.509928279241602, 'speedup_best': 1.5056628914057295, 'xsmm_local_avg': 22.770604166666672, 'xsmm_local_best': 22.515, 'xsmm_upstream_avg': 34.38197916666666, 'xsmm_upstream_best': 33.9}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 2.0660827523890264, 'speedup_best': 2.118050809686525, 'xsmm_local_avg': 34.72256249999999, 'xsmm_local_best': 33.655, 'xsmm_upstream_avg': 71.73968749999997, 'xsmm_upstream_best': 71.283}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.8186028347311807, 'speedup_best': 1.8487262737262737, 'xsmm_local_avg': 41.12970833333334, 'xsmm_local_best': 40.04, 'xsmm_upstream_avg': 74.79860416666668, 'xsmm_upstream_best': 74.023}
