{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9868173191570423, 'speedup_best': 1.0296940068803189, 'xsmm_local_avg': 5.9057916666666666, 'xsmm_local_best': 5.523, 'xsmm_upstream_avg': 5.827937500000001, 'xsmm_upstream_best': 5.687}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0275081918006959, 'speedup_best': 1.0123076923076924, 'xsmm_local_avg': 3.3315833333333322, 'xsmm_local_best': 3.25, 'xsmm_upstream_avg': 3.423229166666667, 'xsmm_upstream_best': 3.29}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.4253673264634452, 'speedup_best': 1.4037644201578627, 'xsmm_local_avg': 6.665562500000001, 'xsmm_local_best': 6.588, 'xsmm_upstream_avg': 9.500874999999999, 'xsmm_upstream_best': 9.248}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.037635737785976, 'speedup_best': 1.0112219451371571, 'xsmm_local_avg': 3.2864375000000012, 'xsmm_local_best': 3.208, 'xsmm_upstream_avg': 3.4101249999999994, 'xsmm_upstream_best': 3.244}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.993206405997104, 'speedup_best': 0.9771975630983464, 'xsmm_local_avg': 5.869499999999999, 'xsmm_local_best': 5.745, 'xsmm_upstream_avg': 5.829625, 'xsmm_upstream_best': 5.614}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.7743677664367188, 'speedup_best': 1.762672306906863, 'xsmm_local_avg': 13.840645833333328, 'xsmm_local_best': 13.711, 'xsmm_upstream_avg': 24.558395833333336, 'xsmm_upstream_best': 24.168}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.137842511882338, 'speedup_best': 1.1980967917346383, 'xsmm_local_avg': 19.720270833333327, 'xsmm_local_best': 18.39, 'xsmm_upstream_avg': 22.438562500000003, 'xsmm_upstream_best': 22.033}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.6944346803349346, 'speedup_best': 1.7044256426944355, 'xsmm_local_avg': 31.175208333333327, 'xsmm_local_best': 30.73, 'xsmm_upstream_avg': 52.824354166666645, 'xsmm_upstream_best': 52.377}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.529071771006148, 'speedup_best': 1.5814772292384232, 'xsmm_local_avg': 27.325333333333337, 'xsmm_local_best': 26.13, 'xsmm_upstream_avg': 41.78239583333334, 'xsmm_upstream_best': 41.324}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.4987813163597508, 'speedup_best': 1.4974920802534317, 'xsmm_local_avg': 22.967062499999997, 'xsmm_local_best': 22.728, 'xsmm_upstream_avg': 34.422604166666666, 'xsmm_upstream_best': 34.035}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.4626590663307686, 'speedup_best': 1.457258016001925, 'xsmm_local_avg': 16.779229166666667, 'xsmm_local_best': 16.623, 'xsmm_upstream_avg': 24.542291666666667, 'xsmm_upstream_best': 24.224}
