{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0316396344133563, 'speedup_best': 1.026586679391915, 'xsmm_local_avg': 29.59170833333333, 'xsmm_local_best': 29.338, 'xsmm_upstream_avg': 30.527979166666665, 'xsmm_upstream_best': 30.118}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 0.9491179946752285, 'speedup_best': 0.9505960141553362, 'xsmm_local_avg': 43.39779166666667, 'xsmm_local_best': 42.952, 'xsmm_upstream_avg': 41.189625000000014, 'xsmm_upstream_best': 40.83}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9021031706919146, 'speedup_best': 0.9046650669052752, 'xsmm_local_avg': 74.19056250000001, 'xsmm_local_best': 73.761, 'xsmm_upstream_avg': 66.92754166666667, 'xsmm_upstream_best': 66.729}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 0.9958633314659185, 'speedup_best': 0.9928917158713667, 'xsmm_local_avg': 158.93929166666666, 'xsmm_local_best': 157.844, 'xsmm_upstream_avg': 158.28181249999997, 'xsmm_upstream_best': 156.722}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.0617275484475721, 'speedup_best': 1.0499241009658653, 'xsmm_local_avg': 375.49718749999994, 'xsmm_local_best': 372.20500000000004, 'xsmm_upstream_avg': 398.67570833333326, 'xsmm_upstream_best': 390.787}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 0.97903591010956, 'speedup_best': 0.9569659596659217, 'xsmm_local_avg': 882.2387916666667, 'xsmm_local_best': 864.827, 'xsmm_upstream_avg': 863.7434583333335, 'xsmm_upstream_best': 827.61}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.0326607136948984, 'speedup_best': 1.0269157020098005, 'xsmm_local_avg': 28.335520833333334, 'xsmm_local_best': 28.162, 'xsmm_upstream_avg': 29.26097916666666, 'xsmm_upstream_best': 28.92}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 0.9594567150645471, 'speedup_best': 0.9559742450521513, 'xsmm_local_avg': 42.36727083333333, 'xsmm_local_best': 42.089, 'xsmm_upstream_avg': 40.649562499999995, 'xsmm_upstream_best': 40.236}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 0.93136609747035, 'speedup_best': 0.9322659231408333, 'xsmm_local_avg': 71.26397916666666, 'xsmm_local_best': 71.013, 'xsmm_upstream_avg': 66.37285416666666, 'xsmm_upstream_best': 66.203}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.0322208987691885, 'speedup_best': 1.032414732912676, 'xsmm_local_avg': 156.10468750000004, 'xsmm_local_best': 154.837, 'xsmm_upstream_avg': 161.13452083333337, 'xsmm_upstream_best': 159.856}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.104276264454467, 'speedup_best': 1.0825835795624317, 'xsmm_local_avg': 363.3788749999999, 'xsmm_local_best': 361.452, 'xsmm_upstream_avg': 401.2706666666666, 'xsmm_upstream_best': 391.302}
