{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 0.9899922936776159, 'speedup_best': 0.9933016469547917, 'xsmm_local_avg': 45.57945833333334, 'xsmm_local_best': 45.235, 'xsmm_upstream_avg': 45.1233125, 'xsmm_upstream_best': 44.932}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 0.9699620044995471, 'speedup_best': 0.9695059123693636, 'xsmm_local_avg': 81.78600000000002, 'xsmm_local_best': 81.524, 'xsmm_upstream_avg': 79.32931249999997, 'xsmm_upstream_best': 79.038}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 0.97078721589744, 'speedup_best': 0.9712557204000966, 'xsmm_local_avg': 128.51964583333333, 'xsmm_local_best': 128.269, 'xsmm_upstream_avg': 124.76522916666669, 'xsmm_upstream_best': 124.582}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 0.9825456918098903, 'speedup_best': 0.9828196439761412, 'xsmm_local_avg': 172.61139583333338, 'xsmm_local_best': 172.348, 'xsmm_upstream_avg': 169.59858333333335, 'xsmm_upstream_best': 169.387}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 0.9941452769090874, 'speedup_best': 0.9949744534718151, 'xsmm_local_avg': 215.28914583333332, 'xsmm_local_best': 214.902, 'xsmm_upstream_avg': 214.02868750000005, 'xsmm_upstream_best': 213.822}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.011384549418262, 'speedup_best': 1.0112846477301984, 'xsmm_local_avg': 256.54104166666673, 'xsmm_local_best': 256.366, 'xsmm_upstream_avg': 259.4616458333333, 'xsmm_upstream_best': 259.259}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9411482322849062, 'speedup_best': 0.9403903484939715, 'xsmm_local_avg': 68.22189583333332, 'xsmm_local_best': 68.093, 'xsmm_upstream_avg': 64.20691666666666, 'xsmm_upstream_best': 64.034}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 0.9804938957938998, 'speedup_best': 0.9810530783924059, 'xsmm_local_avg': 103.87987499999997, 'xsmm_local_best': 103.658, 'xsmm_upstream_avg': 101.8535833333333, 'xsmm_upstream_best': 101.694}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 0.9507349748768602, 'speedup_best': 0.9514297759751115, 'xsmm_local_avg': 69.00179166666666, 'xsmm_local_best': 68.787, 'xsmm_upstream_avg': 65.60241666666667, 'xsmm_upstream_best': 65.446}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 0.9716949325521274, 'speedup_best': 0.9726130369128634, 'xsmm_local_avg': 150.65029166666667, 'xsmm_local_best': 150.327, 'xsmm_upstream_avg': 146.386125, 'xsmm_upstream_best': 146.21}
