{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.989552215449858, 'speedup_best': 0.9753491242959649, 'xsmm_local_avg': 26.626458333333332, 'xsmm_local_best': 25.922, 'xsmm_upstream_avg': 26.348270833333334, 'xsmm_upstream_best': 25.283}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 0.9939771685474148, 'speedup_best': 1.0036288470372072, 'xsmm_local_avg': 22.224458333333335, 'xsmm_local_best': 21.77, 'xsmm_upstream_avg': 22.090604166666665, 'xsmm_upstream_best': 21.849}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0051360645459553, 'speedup_best': 0.9904636838320358, 'xsmm_local_avg': 32.896458333333335, 'xsmm_local_best': 31.983, 'xsmm_upstream_avg': 33.065416666666664, 'xsmm_upstream_best': 31.678}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0225229890944507, 'speedup_best': 1.019540422676954, 'xsmm_local_avg': 36.40539583333334, 'xsmm_local_best': 35.772, 'xsmm_upstream_avg': 37.22535416666667, 'xsmm_upstream_best': 36.471}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0307248775274078, 'speedup_best': 1.0326606044746827, 'xsmm_local_avg': 61.633687499999986, 'xsmm_local_best': 61.144, 'xsmm_upstream_avg': 63.52737500000001, 'xsmm_upstream_best': 63.141}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0024488165911378, 'speedup_best': 1.0030741204599796, 'xsmm_local_avg': 61.6624375, 'xsmm_local_best': 61.481, 'xsmm_upstream_avg': 61.8134375, 'xsmm_upstream_best': 61.67}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0043909904910555, 'speedup_best': 1.0045030278980693, 'xsmm_local_avg': 58.490979166666655, 'xsmm_local_best': 57.961, 'xsmm_upstream_avg': 58.74781250000001, 'xsmm_upstream_best': 58.222}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 0.9978772273601533, 'speedup_best': 1.0001168497312456, 'xsmm_local_avg': 34.58527083333335, 'xsmm_local_best': 34.232, 'xsmm_upstream_avg': 34.51185416666666, 'xsmm_upstream_best': 34.236}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 1.0233631112423698, 'speedup_best': 1.025012478509234, 'xsmm_local_avg': 36.611312500000004, 'xsmm_local_best': 36.062, 'xsmm_upstream_avg': 37.46666666666667, 'xsmm_upstream_best': 36.964}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 1.0373526796982409, 'speedup_best': 1.0377668308702792, 'xsmm_local_avg': 61.326479166666665, 'xsmm_local_best': 60.9, 'xsmm_upstream_avg': 63.61718750000001, 'xsmm_upstream_best': 63.2}
