{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9959589604789802, 'speedup_best': 0.992411214953271, 'xsmm_local_avg': 27.617687500000006, 'xsmm_local_best': 26.75, 'xsmm_upstream_avg': 27.506083333333333, 'xsmm_upstream_best': 26.547}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 0.9957382140736839, 'speedup_best': 1.0003495739567403, 'xsmm_local_avg': 23.19547916666666, 'xsmm_local_best': 22.885, 'xsmm_upstream_avg': 23.096625000000003, 'xsmm_upstream_best': 22.893}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0054333261949984, 'speedup_best': 1.0077375513933302, 'xsmm_local_avg': 35.60587499999999, 'xsmm_local_best': 35.024, 'xsmm_upstream_avg': 35.79933333333333, 'xsmm_upstream_best': 35.295}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.005827631222102, 'speedup_best': 0.9978634017524908, 'xsmm_local_avg': 42.019645833333335, 'xsmm_local_best': 41.655, 'xsmm_upstream_avg': 42.264520833333336, 'xsmm_upstream_best': 41.566}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0097016279238527, 'speedup_best': 1.0102821756148856, 'xsmm_local_avg': 68.90166666666666, 'xsmm_local_best': 68.468, 'xsmm_upstream_avg': 69.57012499999998, 'xsmm_upstream_best': 69.172}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0268932156094652, 'speedup_best': 1.0266090641424286, 'xsmm_local_avg': 73.13725000000001, 'xsmm_local_best': 72.682, 'xsmm_upstream_avg': 75.10414583333336, 'xsmm_upstream_best': 74.616}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0120499209188083, 'speedup_best': 1.004304027891335, 'xsmm_local_avg': 65.36004166666665, 'xsmm_local_best': 64.823, 'xsmm_upstream_avg': 66.14762499999999, 'xsmm_upstream_best': 65.102}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 0.9957544987673406, 'speedup_best': 1.0041084042093125, 'xsmm_local_avg': 42.69225000000001, 'xsmm_local_best': 41.622, 'xsmm_upstream_avg': 42.511, 'xsmm_upstream_best': 41.793}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 1.001169675306522, 'speedup_best': 0.98376378374431, 'xsmm_local_avg': 41.73166666666667, 'xsmm_local_best': 41.081, 'xsmm_upstream_avg': 41.78047916666668, 'xsmm_upstream_best': 40.414}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 1.0110417734924395, 'speedup_best': 1.0040203347365664, 'xsmm_local_avg': 69.02952083333335, 'xsmm_local_best': 68.651, 'xsmm_upstream_avg': 69.79172916666666, 'xsmm_upstream_best': 68.92700000000002}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m132.txt', 'speedup_avg': 1.0274129552165356, 'speedup_best': 1.0294004382179145, 'xsmm_local_avg': 75.86133333333333, 'xsmm_local_best': 75.30499999999995, 'xsmm_upstream_avg': 77.94091666666668, 'xsmm_upstream_best': 77.519}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m460.txt', 'speedup_avg': 1.014298496315192, 'speedup_best': 1.0200439276882671, 'xsmm_local_avg': 65.94079166666667, 'xsmm_local_best': 65.107, 'xsmm_upstream_avg': 66.88364583333335, 'xsmm_upstream_best': 66.412}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.008532768457436, 'speedup_best': 1.0132074168709644, 'xsmm_local_avg': 58.69529166666667, 'xsmm_local_best': 57.922, 'xsmm_upstream_avg': 59.196125, 'xsmm_upstream_best': 58.687}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0493795689207854, 'speedup_best': 1.0527418361059766, 'xsmm_local_avg': 73.63495833333333, 'xsmm_local_best': 73.035, 'xsmm_upstream_avg': 77.27102083333332, 'xsmm_upstream_best': 76.887}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0211255128990935, 'speedup_best': 1.021550021302142, 'xsmm_local_avg': 129.46727083333332, 'xsmm_local_best': 129.095, 'xsmm_upstream_avg': 132.2023333333333, 'xsmm_upstream_best': 131.877}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.1086096074204297, 'speedup_best': 1.0978924908970442, 'xsmm_local_avg': 165.6957083333333, 'xsmm_local_best': 164.50699999999995, 'xsmm_upstream_avg': 183.69185416666664, 'xsmm_upstream_best': 180.611}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0054739006834814, 'speedup_best': 1.0059951699690708, 'xsmm_local_avg': 141.90825, 'xsmm_local_best': 141.614, 'xsmm_upstream_avg': 142.68504166666665, 'xsmm_upstream_best': 142.463}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m0.txt', 'speedup_avg': 1.0154574778375076, 'speedup_best': 1.0156712583494412, 'xsmm_local_avg': 82.012625, 'xsmm_local_best': 81.742, 'xsmm_upstream_avg': 83.28033333333333, 'xsmm_upstream_best': 83.02300000000002}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m3.txt', 'speedup_avg': 1.0132506951184326, 'speedup_best': 1.0129964184135678, 'xsmm_local_avg': 76.24599999999998, 'xsmm_local_best': 75.944, 'xsmm_upstream_avg': 77.25631249999999, 'xsmm_upstream_best': 76.931}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m6.txt', 'speedup_avg': 1.0278377014187092, 'speedup_best': 1.027696861126256, 'xsmm_local_avg': 128.69387500000002, 'xsmm_local_best': 128.39, 'xsmm_upstream_avg': 132.2764166666667, 'xsmm_upstream_best': 131.946}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m132.txt', 'speedup_avg': 1.0997740927390558, 'speedup_best': 1.0967728537608505, 'xsmm_local_avg': 169.9351458333333, 'xsmm_local_best': 168.539, 'xsmm_upstream_avg': 186.8902708333333, 'xsmm_upstream_best': 184.849}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m460.txt', 'speedup_avg': 1.000877244223951, 'speedup_best': 1.0006762079374265, 'xsmm_local_avg': 143.72660416666665, 'xsmm_local_best': 143.447, 'xsmm_upstream_avg': 143.85268749999997, 'xsmm_upstream_best': 143.544}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0138631301250742, 'speedup_best': 1.013984580519525, 'xsmm_local_avg': 88.06783333333335, 'xsmm_local_best': 87.811, 'xsmm_upstream_avg': 89.2887291666667, 'xsmm_upstream_best': 89.039}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0431403959427163, 'speedup_best': 1.0422547742880024, 'xsmm_local_avg': 123.991, 'xsmm_local_best': 123.631, 'xsmm_upstream_avg': 129.34002083333334, 'xsmm_upstream_best': 128.85500000000002}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0298061982006979, 'speedup_best': 1.0301237050635128, 'xsmm_local_avg': 217.44079166666668, 'xsmm_local_best': 216.806, 'xsmm_upstream_avg': 223.921875, 'xsmm_upstream_best': 223.337}
{'a_cols': 648, 'a_nonzero': 3456, 'a_rows': 216, 'a_size': 139968, 'a_unique': 32, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 7.9785799505416035, 'speedup_best': 7.7984485604457685, 'xsmm_local_avg': 362.3163124999999, 'xsmm_local_best': 361.084, 'xsmm_upstream_avg': 2890.7696666666657, 'xsmm_upstream_best': 2815.895}
{'a_cols': 216, 'a_nonzero': 3456, 'a_rows': 648, 'a_size': 139968, 'a_unique': 32, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 7.187379761388166, 'speedup_best': 7.094444383403104, 'xsmm_local_avg': 273.8478333333333, 'xsmm_local_best': 273.039, 'xsmm_upstream_avg': 1968.2483749999994, 'xsmm_upstream_best': 1937.06}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m0.txt', 'speedup_avg': 1.0411647641212478, 'speedup_best': 1.0416086620262954, 'xsmm_local_avg': 149.51095833333332, 'xsmm_local_best': 148.695, 'xsmm_upstream_avg': 155.66554166666668, 'xsmm_upstream_best': 154.882}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m3.txt', 'speedup_avg': 1.0365149800939155, 'speedup_best': 1.0368472524186314, 'xsmm_local_avg': 124.20302083333335, 'xsmm_local_best': 123.727, 'xsmm_upstream_avg': 128.7382916666667, 'xsmm_upstream_best': 128.286}
