{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.002433437313352, 'speedup_best': 1.0011406716543094, 'xsmm_local_avg': 30.067208333333337, 'xsmm_local_best': 29.807, 'xsmm_upstream_avg': 30.140375000000002, 'xsmm_upstream_best': 29.841}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0077729049595348, 'speedup_best': 1.001041082726035, 'xsmm_local_avg': 50.112645833333346, 'xsmm_local_best': 49.948, 'xsmm_upstream_avg': 50.502166666666675, 'xsmm_upstream_best': 50.0}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9989430228852731, 'speedup_best': 0.998128493052351, 'xsmm_local_avg': 78.19075000000001, 'xsmm_local_best': 78.012, 'xsmm_upstream_avg': 78.10810416666668, 'xsmm_upstream_best': 77.866}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0233337392782076, 'speedup_best': 1.0265884560605345, 'xsmm_local_avg': 149.3429375, 'xsmm_local_best': 148.147, 'xsmm_upstream_avg': 152.82766666666666, 'xsmm_upstream_best': 152.086}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 0.9936310420533381, 'speedup_best': 0.9488156968096823, 'xsmm_local_avg': 371.9309375, 'xsmm_local_best': 367.769, 'xsmm_upstream_avg': 369.562125, 'xsmm_upstream_best': 348.94500000000005}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0275962416638285, 'speedup_best': 1.003469058199559, 'xsmm_local_avg': 820.0082500000002, 'xsmm_local_best': 818.6659999999999, 'xsmm_upstream_avg': 842.6373958333332, 'xsmm_upstream_best': 821.506}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.9787122490075038, 'speedup_best': 1.9867675523491097, 'xsmm_local_avg': 28.68922916666666, 'xsmm_local_best': 28.415, 'xsmm_upstream_avg': 56.76772916666666, 'xsmm_upstream_best': 56.45399999999995}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.8539483469818268, 'speedup_best': 1.8484238900846883, 'xsmm_local_avg': 50.03095833333335, 'xsmm_local_best': 49.711, 'xsmm_upstream_avg': 92.75481250000001, 'xsmm_upstream_best': 91.88699999999994}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 2.3836002213284666, 'speedup_best': 2.3581193068059774, 'xsmm_local_avg': 75.67937499999998, 'xsmm_local_best': 75.419, 'xsmm_upstream_avg': 180.38937499999997, 'xsmm_upstream_best': 177.847}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 3.637665610251398, 'speedup_best': 3.6297206209039508, 'xsmm_local_avg': 145.4013125, 'xsmm_local_best': 144.499, 'xsmm_upstream_avg': 528.9213541666667, 'xsmm_upstream_best': 524.491}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 3.7602601159769686, 'speedup_best': 3.719080664124107, 'xsmm_local_avg': 349.8503541666666, 'xsmm_local_best': 348.73, 'xsmm_upstream_avg': 1315.5283333333332, 'xsmm_upstream_best': 1296.955}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'speedup_avg': 3.4270860633871485, 'speedup_best': 3.4414471897909316, 'xsmm_local_avg': 840.8526249999999, 'xsmm_local_best': 810.26, 'xsmm_upstream_avg': 2881.6743125, 'xsmm_upstream_best': 2788.467}
