{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 0.9897433065376241, 'speedup_best': 0.9860892827286407, 'xsmm_local_avg': 30.179479166666667, 'xsmm_local_best': 29.905, 'xsmm_upstream_avg': 29.869937500000006, 'xsmm_upstream_best': 29.489}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0048369585967964, 'speedup_best': 1.001947222165879, 'xsmm_local_avg': 50.19941666666667, 'xsmm_local_best': 49.301, 'xsmm_upstream_avg': 50.44222916666667, 'xsmm_upstream_best': 49.397}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9921152128187614, 'speedup_best': 0.9876964526268525, 'xsmm_local_avg': 78.61393750000002, 'xsmm_local_best': 77.945, 'xsmm_upstream_avg': 77.99408333333332, 'xsmm_upstream_best': 76.986}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0385889807157074, 'speedup_best': 1.0390557646253844, 'xsmm_local_avg': 147.0940208333333, 'xsmm_local_best': 146.15, 'xsmm_upstream_avg': 152.77022916666667, 'xsmm_upstream_best': 151.85799999999995}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.020123217785511, 'speedup_best': 1.0182159179098043, 'xsmm_local_avg': 372.32179166666657, 'xsmm_local_best': 371.104, 'xsmm_upstream_avg': 379.8141041666666, 'xsmm_upstream_best': 377.864}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0201248232462312, 'speedup_best': 1.0107137872916017, 'xsmm_local_avg': 851.7911250000001, 'xsmm_local_best': 838.359, 'xsmm_upstream_avg': 868.9332708333335, 'xsmm_upstream_best': 847.341}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.9968572325457228, 'speedup_best': 2.007554700306464, 'xsmm_local_avg': 28.405166666666673, 'xsmm_local_best': 28.062, 'xsmm_upstream_avg': 56.72106250000002, 'xsmm_upstream_best': 56.336}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.8328262957007024, 'speedup_best': 1.836582314243048, 'xsmm_local_avg': 50.292125, 'xsmm_local_best': 49.554, 'xsmm_upstream_avg': 92.17672916666669, 'xsmm_upstream_best': 91.01}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 2.2918833029851418, 'speedup_best': 2.278385861408684, 'xsmm_local_avg': 78.14395833333334, 'xsmm_local_best': 77.292, 'xsmm_upstream_avg': 179.0968333333333, 'xsmm_upstream_best': 176.101}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 3.6502013844389247, 'speedup_best': 3.6247484630223292, 'xsmm_local_avg': 144.8721666666667, 'xsmm_local_best': 144.114, 'xsmm_upstream_avg': 528.8125833333334, 'xsmm_upstream_best': 522.377}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 3.577575698899742, 'speedup_best': 3.555340337855618, 'xsmm_local_avg': 369.68970833333333, 'xsmm_local_best': 368.619, 'xsmm_upstream_avg': 1322.5929166666667, 'xsmm_upstream_best': 1310.566}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'speedup_avg': 3.4735560772946137, 'speedup_best': 3.411261405944777, 'xsmm_local_avg': 802.764, 'xsmm_local_best': 800.131, 'xsmm_upstream_avg': 2788.4457708333334, 'xsmm_upstream_best': 2729.456}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0037703189019704, 'speedup_best': 0.9980313576601281, 'xsmm_local_avg': 43.713145833333336, 'xsmm_local_best': 42.669, 'xsmm_upstream_avg': 43.87795833333334, 'xsmm_upstream_best': 42.585}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.032737042015179, 'speedup_best': 1.0329025726536445, 'xsmm_local_avg': 101.4930833333333, 'xsmm_local_best': 100.752, 'xsmm_upstream_avg': 104.81566666666669, 'xsmm_upstream_best': 104.067}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 0.9945447394692492, 'speedup_best': 0.994163818287574, 'xsmm_local_avg': 153.30004166666666, 'xsmm_local_best': 153.011, 'xsmm_upstream_avg': 152.46375000000003, 'xsmm_upstream_best': 152.118}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 0.9964373414478545, 'speedup_best': 0.996626609559768, 'xsmm_local_avg': 219.03118750000007, 'xsmm_local_best': 218.771, 'xsmm_upstream_avg': 218.2508541666666, 'xsmm_upstream_best': 218.033}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 0.9975231678003953, 'speedup_best': 0.9977119106595576, 'xsmm_local_avg': 286.2022708333333, 'xsmm_local_best': 285.828, 'xsmm_upstream_avg': 285.4933958333333, 'xsmm_upstream_best': 285.174}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.00143182415505, 'speedup_best': 1.0008856368379653, 'xsmm_local_avg': 353.6136041666666, 'xsmm_local_best': 353.418, 'xsmm_upstream_avg': 354.1199166666667, 'xsmm_upstream_best': 353.731}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.02647663084051, 'speedup_best': 1.0265079112243813, 'xsmm_local_avg': 76.07337499999998, 'xsmm_local_best': 75.336, 'xsmm_upstream_avg': 78.08754166666667, 'xsmm_upstream_best': 77.333}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 0.9923571752340506, 'speedup_best': 0.9906137184115524, 'xsmm_local_avg': 122.25791666666669, 'xsmm_local_best': 121.88, 'xsmm_upstream_avg': 121.32352083333332, 'xsmm_upstream_best': 120.736}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 0.9936213477474924, 'speedup_best': 0.9936440677966102, 'xsmm_local_avg': 64.59697916666666, 'xsmm_local_best': 63.72, 'xsmm_upstream_avg': 64.18493750000002, 'xsmm_upstream_best': 63.315}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 0.9963005965712711, 'speedup_best': 0.9967865076455239, 'xsmm_local_avg': 185.80135416666664, 'xsmm_local_best': 185.468, 'xsmm_upstream_avg': 185.114, 'xsmm_upstream_best': 184.872}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'speedup_avg': 1.0147913962934596, 'speedup_best': 1.013616563833242, 'xsmm_local_avg': 90.00868750000002, 'xsmm_local_best': 89.303, 'xsmm_upstream_avg': 91.34004166666669, 'xsmm_upstream_best': 90.519}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'speedup_avg': 0.9922640623604124, 'speedup_best': 0.9920504789977892, 'xsmm_local_avg': 109.60479166666664, 'xsmm_local_best': 108.56, 'xsmm_upstream_avg': 108.75689583333332, 'xsmm_upstream_best': 107.697}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.1_uniq_64.txt', 'speedup_avg': 1.800082280989579, 'speedup_best': 1.7879929691288186, 'xsmm_local_avg': 99.65849999999999, 'xsmm_local_best': 98.992, 'xsmm_upstream_avg': 179.39349999999993, 'xsmm_upstream_best': 176.997}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.01_uniq_64.txt', 'speedup_avg': 4.053783698813543, 'speedup_best': 4.155812708095649, 'xsmm_local_avg': 44.331895833333334, 'xsmm_local_best': 42.949, 'xsmm_upstream_avg': 179.71191666666672, 'xsmm_upstream_best': 178.488}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.2_uniq_64.txt', 'speedup_avg': 1.1773070978963676, 'speedup_best': 1.1633932494376718, 'xsmm_local_avg': 152.7852916666666, 'xsmm_local_best': 152.491, 'xsmm_upstream_avg': 179.87520833333335, 'xsmm_upstream_best': 177.407}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.3_uniq_64.txt', 'speedup_avg': 0.8212347378095747, 'speedup_best': 0.8094665926778598, 'xsmm_local_avg': 218.28520833333326, 'xsmm_local_best': 218.051, 'xsmm_upstream_avg': 179.26339583333333, 'xsmm_upstream_best': 176.505}
