{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9910438801010786, 'speedup_best': 1.0217051571453377, 'xsmm_local_avg': 5.9689166666666695, 'xsmm_local_best': 5.759, 'xsmm_upstream_avg': 5.915458333333333, 'xsmm_upstream_best': 5.884}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9753147279752035, 'speedup_best': 0.9859627708269758, 'xsmm_local_avg': 3.380895833333335, 'xsmm_local_best': 3.277, 'xsmm_upstream_avg': 3.2974375000000005, 'xsmm_upstream_best': 3.231}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0006851098655818, 'speedup_best': 1.0016606280193237, 'xsmm_local_avg': 6.7203333333333335, 'xsmm_local_best': 6.624, 'xsmm_upstream_avg': 6.7249374999999985, 'xsmm_upstream_best': 6.635}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9832939197425523, 'speedup_best': 0.9642427884615385, 'xsmm_local_avg': 3.4181666666666666, 'xsmm_local_best': 3.328, 'xsmm_upstream_avg': 3.361062500000001, 'xsmm_upstream_best': 3.209}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9945570141334675, 'speedup_best': 1.0556593201344788, 'xsmm_local_avg': 5.9212291666666665, 'xsmm_local_best': 5.354, 'xsmm_upstream_avg': 5.889, 'xsmm_upstream_best': 5.652}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9976266967234857, 'speedup_best': 1.0040272387786482, 'xsmm_local_avg': 13.825666666666665, 'xsmm_local_best': 13.657, 'xsmm_upstream_avg': 13.79285416666667, 'xsmm_upstream_best': 13.712}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.008228453345351, 'speedup_best': 0.9836989223784258, 'xsmm_local_avg': 18.95354166666667, 'xsmm_local_best': 18.281, 'xsmm_upstream_avg': 19.1095, 'xsmm_upstream_best': 17.983}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9751238875105351, 'speedup_best': 0.9595511398347321, 'xsmm_local_avg': 31.690375000000003, 'xsmm_local_best': 31.101, 'xsmm_upstream_avg': 30.902041666666676, 'xsmm_upstream_best': 29.843}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0097874517246361, 'speedup_best': 0.9998460057747834, 'xsmm_local_avg': 26.6753125, 'xsmm_local_best': 25.975, 'xsmm_upstream_avg': 26.936395833333336, 'xsmm_upstream_best': 25.971}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 0.9918053690134141, 'speedup_best': 0.9965542809787586, 'xsmm_local_avg': 23.282520833333336, 'xsmm_local_best': 22.927, 'xsmm_upstream_avg': 23.09172916666667, 'xsmm_upstream_best': 22.848}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 0.9997105246555059, 'speedup_best': 0.9963994239078251, 'xsmm_local_avg': 16.840812499999995, 'xsmm_local_best': 16.664, 'xsmm_upstream_avg': 16.835937499999996, 'xsmm_upstream_best': 16.604}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 0.9916388165400141, 'speedup_best': 0.9918055478655667, 'xsmm_local_avg': 18.6451875, 'xsmm_local_best': 18.061, 'xsmm_upstream_avg': 18.489291666666663, 'xsmm_upstream_best': 17.913}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.0086583177096193, 'speedup_best': 1.01597329056332, 'xsmm_local_avg': 31.22479166666666, 'xsmm_local_best': 30.551, 'xsmm_upstream_avg': 31.495145833333336, 'xsmm_upstream_best': 31.038999999999987}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.968284582657852, 'speedup_best': 0.9982177450600542, 'xsmm_local_avg': 27.23110416666667, 'xsmm_local_best': 25.81, 'xsmm_upstream_avg': 26.36745833333333, 'xsmm_upstream_best': 25.764}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0171085832846345, 'speedup_best': 1.0137082601054481, 'xsmm_local_avg': 22.9940625, 'xsmm_local_best': 22.76, 'xsmm_upstream_avg': 23.38745833333334, 'xsmm_upstream_best': 23.072}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0023010316983028, 'speedup_best': 1.0057532129261242, 'xsmm_local_avg': 35.68145833333333, 'xsmm_local_best': 34.937, 'xsmm_upstream_avg': 35.7635625, 'xsmm_upstream_best': 35.138}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9887270554085206, 'speedup_best': 0.9859965880011373, 'xsmm_local_avg': 42.70364583333333, 'xsmm_local_best': 42.204, 'xsmm_upstream_avg': 42.22225, 'xsmm_upstream_best': 41.613}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0095273449396227, 'speedup_best': 1.009876039678956, 'xsmm_local_avg': 69.366125, 'xsmm_local_best': 68.651, 'xsmm_upstream_avg': 70.02699999999999, 'xsmm_upstream_best': 69.329}
