{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.001107587242756, 'speedup_best': 1.0165003326679973, 'xsmm_local_avg': 7.711958333333333, 'xsmm_local_best': 7.515, 'xsmm_upstream_avg': 7.720499999999998, 'xsmm_upstream_best': 7.639}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9903465797376255, 'speedup_best': 0.9916724496877167, 'xsmm_local_avg': 4.460854166666667, 'xsmm_local_best': 4.323, 'xsmm_upstream_avg': 4.417791666666669, 'xsmm_upstream_best': 4.287}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9987587820904569, 'speedup_best': 1.0028858363153643, 'xsmm_local_avg': 8.795125000000004, 'xsmm_local_best': 8.663, 'xsmm_upstream_avg': 8.784208333333334, 'xsmm_upstream_best': 8.688}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9940492898444957, 'speedup_best': 0.994417306350314, 'xsmm_local_avg': 4.453249999999999, 'xsmm_local_best': 4.299, 'xsmm_upstream_avg': 4.426749999999999, 'xsmm_upstream_best': 4.275}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.002573800338116, 'speedup_best': 1.0127101813848802, 'xsmm_local_avg': 7.689666666666668, 'xsmm_local_best': 7.553, 'xsmm_upstream_avg': 7.709458333333334, 'xsmm_upstream_best': 7.649}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0009213643499357, 'speedup_best': 0.9973041373239437, 'xsmm_local_avg': 18.247395833333332, 'xsmm_local_best': 18.176, 'xsmm_upstream_avg': 18.264208333333332, 'xsmm_upstream_best': 18.127}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9994827482365608, 'speedup_best': 0.9985935901807025, 'xsmm_local_avg': 23.52175, 'xsmm_local_best': 23.464, 'xsmm_upstream_avg': 23.509583333333325, 'xsmm_upstream_best': 23.431}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0165765612947666, 'speedup_best': 1.015275821109914, 'xsmm_local_avg': 36.35404166666667, 'xsmm_local_best': 36.201, 'xsmm_upstream_avg': 36.95666666666666, 'xsmm_upstream_best': 36.754}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0003937164650551, 'speedup_best': 0.9971118012422359, 'xsmm_local_avg': 32.43662500000001, 'xsmm_local_best': 32.2, 'xsmm_upstream_avg': 32.44939583333333, 'xsmm_upstream_best': 32.107}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0052868949742124, 'speedup_best': 1.004257316214676, 'xsmm_local_avg': 29.928562500000012, 'xsmm_local_best': 29.831, 'xsmm_upstream_avg': 30.086791666666667, 'xsmm_upstream_best': 29.958}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0091002877572453, 'speedup_best': 1.0172044968367393, 'xsmm_local_avg': 22.233729166666677, 'xsmm_local_best': 21.971, 'xsmm_upstream_avg': 22.436062500000002, 'xsmm_upstream_best': 22.349}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 0.9986841884043989, 'speedup_best': 0.991777086617528, 'xsmm_local_avg': 23.543770833333344, 'xsmm_local_best': 23.471, 'xsmm_upstream_avg': 23.51279166666667, 'xsmm_upstream_best': 23.278}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.0077614428052393, 'speedup_best': 1.0070068419751053, 'xsmm_local_avg': 36.497187499999995, 'xsmm_local_best': 36.393, 'xsmm_upstream_avg': 36.780458333333335, 'xsmm_upstream_best': 36.648}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 1.0050190165319728, 'speedup_best': 1.0070448994927672, 'xsmm_local_avg': 32.14856250000001, 'xsmm_local_best': 31.938, 'xsmm_upstream_avg': 32.30991666666667, 'xsmm_upstream_best': 32.163}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.008342372354737, 'speedup_best': 1.0083895432732641, 'xsmm_local_avg': 29.905062499999996, 'xsmm_local_best': 29.799, 'xsmm_upstream_avg': 30.154541666666674, 'xsmm_upstream_best': 30.049}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.011735432012357, 'speedup_best': 1.0122143707049367, 'xsmm_local_avg': 41.285229166666674, 'xsmm_local_best': 41.181, 'xsmm_upstream_avg': 41.76972916666667, 'xsmm_upstream_best': 41.684}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0347390753349108, 'speedup_best': 1.0341452357401912, 'xsmm_local_avg': 48.725749999999984, 'xsmm_local_best': 48.528, 'xsmm_upstream_avg': 50.41843750000001, 'xsmm_upstream_best': 50.185}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0309228408349584, 'speedup_best': 1.0301414041180847, 'xsmm_local_avg': 80.76352083333332, 'xsmm_local_best': 80.62, 'xsmm_upstream_avg': 83.26095833333333, 'xsmm_upstream_best': 83.05}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0810820563107353, 'speedup_best': 1.0821921031577957, 'xsmm_local_avg': 85.44995833333331, 'xsmm_local_best': 84.996, 'xsmm_upstream_avg': 92.37841666666664, 'xsmm_upstream_best': 91.982}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0215873374558442, 'speedup_best': 1.0217006144528356, 'xsmm_local_avg': 80.02472916666666, 'xsmm_local_best': 79.583, 'xsmm_upstream_avg': 81.75225000000003, 'xsmm_upstream_best': 81.31}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 1.0216106080734146, 'speedup_best': 1.0250675890585241, 'xsmm_local_avg': 51.124583333333355, 'xsmm_local_best': 50.304, 'xsmm_upstream_avg': 52.22941666666665, 'xsmm_upstream_best': 51.565}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 1.0320212882864628, 'speedup_best': 1.0322794376462308, 'xsmm_local_avg': 48.532166666666676, 'xsmm_local_best': 48.297, 'xsmm_upstream_avg': 50.08622916666667, 'xsmm_upstream_best': 49.856}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 1.0299159832121239, 'speedup_best': 1.029119106699752, 'xsmm_local_avg': 80.74279166666666, 'xsmm_local_best': 80.6, 'xsmm_upstream_avg': 83.15829166666667, 'xsmm_upstream_best': 82.947}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m132.txt', 'speedup_avg': 1.0144119114467673, 'speedup_best': 0.9967395634579499, 'xsmm_local_avg': 95.83218750000002, 'xsmm_local_best': 95.386, 'xsmm_upstream_avg': 97.21331250000001, 'xsmm_upstream_best': 95.075}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m460.txt', 'speedup_avg': 1.0274758606679661, 'speedup_best': 1.0294197031039136, 'xsmm_local_avg': 82.04322916666665, 'xsmm_local_best': 81.51, 'xsmm_upstream_avg': 84.2974375, 'xsmm_upstream_best': 83.908}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0209960531846698, 'speedup_best': 1.0203445911705966, 'xsmm_local_avg': 67.20608333333334, 'xsmm_local_best': 67.094, 'xsmm_upstream_avg': 68.61714583333335, 'xsmm_upstream_best': 68.459}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0588927174242622, 'speedup_best': 1.058918491758862, 'xsmm_local_avg': 88.70402083333333, 'xsmm_local_best': 88.58, 'xsmm_upstream_avg': 93.92804166666669, 'xsmm_upstream_best': 93.799}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0380075393027524, 'speedup_best': 1.037116373521994, 'xsmm_local_avg': 152.85454166666668, 'xsmm_local_best': 152.655, 'xsmm_upstream_avg': 158.66416666666672, 'xsmm_upstream_best': 158.321}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.1466583439311138, 'speedup_best': 1.1424985327987294, 'xsmm_local_avg': 203.65900000000002, 'xsmm_local_best': 202.767, 'xsmm_upstream_avg': 233.52729166666674, 'xsmm_upstream_best': 231.66099999999994}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 0.9944398597874604, 'speedup_best': 0.9938290528419285, 'xsmm_local_avg': 176.36320833333332, 'xsmm_local_best': 176.148, 'xsmm_upstream_avg': 175.38260416666665, 'xsmm_upstream_best': 175.061}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m0.txt', 'speedup_avg': 1.039673397107634, 'speedup_best': 1.039197435101872, 'xsmm_local_avg': 96.84543749999996, 'xsmm_local_best': 96.69, 'xsmm_upstream_avg': 100.68762500000001, 'xsmm_upstream_best': 100.48}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m3.txt', 'speedup_avg': 1.0758704648388784, 'speedup_best': 1.0762011839750356, 'xsmm_local_avg': 87.31027083333332, 'xsmm_local_best': 87.164, 'xsmm_upstream_avg': 93.93454166666668, 'xsmm_upstream_best': 93.806}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m6.txt', 'speedup_avg': 1.0383668973577769, 'speedup_best': 1.0384939109392672, 'xsmm_local_avg': 152.29600000000002, 'xsmm_local_best': 152.076, 'xsmm_upstream_avg': 158.139125, 'xsmm_upstream_best': 157.93}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m132.txt', 'speedup_avg': 1.1313115177014168, 'speedup_best': 1.1222557990661246, 'xsmm_local_avg': 213.3574583333332, 'xsmm_local_best': 212.448, 'xsmm_upstream_avg': 241.37375, 'xsmm_upstream_best': 238.42100000000005}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m460.txt', 'speedup_avg': 0.9965950992159492, 'speedup_best': 0.9966251355478346, 'xsmm_local_avg': 181.10537499999998, 'xsmm_local_best': 180.748, 'xsmm_upstream_avg': 180.48872916666667, 'xsmm_upstream_best': 180.138}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0294067193080036, 'speedup_best': 1.0284185255576674, 'xsmm_local_avg': 100.19322916666665, 'xsmm_local_best': 99.97, 'xsmm_upstream_avg': 103.1395833333333, 'xsmm_upstream_best': 102.811}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0476816711129346, 'speedup_best': 1.048159849126212, 'xsmm_local_avg': 145.82297916666667, 'xsmm_local_best': 145.287, 'xsmm_upstream_avg': 152.7760625, 'xsmm_upstream_best': 152.284}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0013608669334142, 'speedup_best': 1.0012267414098985, 'xsmm_local_avg': 257.7860416666667, 'xsmm_local_best': 257.593, 'xsmm_upstream_avg': 258.1368541666666, 'xsmm_upstream_best': 257.909}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m0.txt', 'speedup_avg': 1.084221797592358, 'speedup_best': 1.0831960084225944, 'xsmm_local_avg': 175.18525, 'xsmm_local_best': 174.768, 'xsmm_upstream_avg': 189.93966666666665, 'xsmm_upstream_best': 189.308}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m3.txt', 'speedup_avg': 1.0498895200938003, 'speedup_best': 1.0503897033026754, 'xsmm_local_avg': 145.84100000000004, 'xsmm_local_best': 145.367, 'xsmm_upstream_avg': 153.11693749999998, 'xsmm_upstream_best': 152.692}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m6.txt', 'speedup_avg': 1.0065876650789032, 'speedup_best': 1.0062287214565626, 'xsmm_local_avg': 256.8689583333333, 'xsmm_local_best': 256.714, 'xsmm_upstream_avg': 258.561125, 'xsmm_upstream_best': 258.313}
{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0029154518950437317, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0417563219048418, 'speedup_best': 1.0421462799676238, 'xsmm_local_avg': 139.829625, 'xsmm_local_best': 139.609, 'xsmm_upstream_avg': 145.6683958333333, 'xsmm_upstream_best': 145.493}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0835502826313814, 'speedup_best': 1.0804580573203826, 'xsmm_local_avg': 222.9383541666667, 'xsmm_local_best': 221.457, 'xsmm_upstream_avg': 241.5649166666667, 'xsmm_upstream_best': 239.27499999999998}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0232200622148633, 'speedup_best': 1.0221127528806726, 'xsmm_local_avg': 410.9682499999999, 'xsmm_local_best': 410.668, 'xsmm_upstream_avg': 420.51095833333335, 'xsmm_upstream_best': 419.749}
{'a_cols': 343, 'a_nonzero': 2058, 'a_rows': 294, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre/m0.txt', 'speedup_avg': 1.1215517328587066, 'speedup_best': 1.1019492643441706, 'xsmm_local_avg': 358.33970833333325, 'xsmm_local_best': 357.77599999999995, 'xsmm_upstream_avg': 401.8965208333334, 'xsmm_upstream_best': 394.251}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre/m3.txt', 'speedup_avg': 1.0847926552086817, 'speedup_best': 1.0873612926865677, 'xsmm_local_avg': 223.155875, 'xsmm_local_best': 221.059, 'xsmm_upstream_avg': 242.0778541666667, 'xsmm_upstream_best': 240.37099999999998}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'mat_file': 'example_mats_small/hex/p6/gauss-legendre/m6.txt', 'speedup_avg': 1.0245733962564185, 'speedup_best': 1.0210556277277438, 'xsmm_local_avg': 411.5121041666667, 'xsmm_local_best': 411.054, 'xsmm_upstream_avg': 421.62435416666676, 'xsmm_upstream_best': 419.70899999999995}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9744135780314092, 'speedup_best': 0.9769510715729883, 'xsmm_local_avg': 2.612062499999999, 'xsmm_local_best': 2.473, 'xsmm_upstream_avg': 2.5452291666666667, 'xsmm_upstream_best': 2.416}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9654400728987994, 'speedup_best': 1.0102179836512262, 'xsmm_local_avg': 1.5546666666666666, 'xsmm_local_best': 1.468, 'xsmm_upstream_avg': 1.5009375, 'xsmm_upstream_best': 1.483}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 64, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.988214426195442, 'speedup_best': 1.046189376443418, 'xsmm_local_avg': 2.807104166666667, 'xsmm_local_best': 2.598, 'xsmm_upstream_avg': 2.7740208333333345, 'xsmm_upstream_best': 2.718}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9712484271198358, 'speedup_best': 0.9925725860904793, 'xsmm_local_avg': 1.5397708333333335, 'xsmm_local_best': 1.481, 'xsmm_upstream_avg': 1.4954999999999992, 'xsmm_upstream_best': 1.47}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_small/quad/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9788524943518834, 'speedup_best': 1.0439746300211414, 'xsmm_local_avg': 2.609645833333334, 'xsmm_local_best': 2.365, 'xsmm_upstream_avg': 2.5544583333333333, 'xsmm_upstream_best': 2.469}
{'a_cols': 9, 'a_nonzero': 12, 'a_rows': 12, 'a_size': 108, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/quad/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0014143404935383, 'speedup_best': 1.0223520447040895, 'xsmm_local_avg': 4.080229166666668, 'xsmm_local_best': 3.937, 'xsmm_upstream_avg': 4.086000000000001, 'xsmm_upstream_best': 4.025}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.3333333333333333, 'mat_file': 'example_mats_small/quad/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9965583218610731, 'speedup_best': 1.034057545507927, 'xsmm_local_avg': 3.5714166666666665, 'xsmm_local_best': 3.406, 'xsmm_upstream_avg': 3.5591250000000003, 'xsmm_upstream_best': 3.522}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.16666666666666666, 'mat_file': 'example_mats_small/quad/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9998090668925463, 'speedup_best': 1.02997227997228, 'xsmm_local_avg': 6.001229166666665, 'xsmm_local_best': 5.772, 'xsmm_upstream_avg': 6.000083333333332, 'xsmm_upstream_best': 5.945}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.2962962962962963, 'mat_file': 'example_mats_small/quad/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9705811592389784, 'speedup_best': 0.9734055071781597, 'xsmm_local_avg': 4.3297083333333335, 'xsmm_local_best': 4.249, 'xsmm_upstream_avg': 4.202333333333332, 'xsmm_upstream_best': 4.136}
