{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0035767089625218, 'speedup_best': 1.0137807482946324, 'xsmm_local_avg': 44.78045833333334, 'xsmm_local_best': 43.539, 'xsmm_upstream_avg': 44.94062500000001, 'xsmm_upstream_best': 44.139}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.0313265681472432, 'speedup_best': 1.0309631335045308, 'xsmm_local_avg': 102.22885416666668, 'xsmm_local_best': 101.637, 'xsmm_upstream_avg': 105.43133333333334, 'xsmm_upstream_best': 104.784}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 0.9940732224004896, 'speedup_best': 0.9943051872316302, 'xsmm_local_avg': 153.6915833333333, 'xsmm_local_best': 153.473, 'xsmm_upstream_avg': 152.78068750000003, 'xsmm_upstream_best': 152.599}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 0.9958329553679499, 'speedup_best': 0.9966976979670776, 'xsmm_local_avg': 219.56008333333332, 'xsmm_local_best': 219.24099999999999, 'xsmm_upstream_avg': 218.64516666666668, 'xsmm_upstream_best': 218.51700000000005}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 0.9976371214976274, 'speedup_best': 0.9979522017325915, 'xsmm_local_avg': 286.46204166666666, 'xsmm_local_best': 286.16099999999994, 'xsmm_upstream_avg': 285.7851666666667, 'xsmm_upstream_best': 285.57500000000005}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 0.9974547159960712, 'speedup_best': 0.9978944087057556, 'xsmm_local_avg': 353.153125, 'xsmm_local_best': 352.87, 'xsmm_upstream_avg': 352.25425, 'xsmm_upstream_best': 352.127}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.994509479327829, 'speedup_best': 0.9922091809455914, 'xsmm_local_avg': 79.08327083333332, 'xsmm_local_best': 78.554, 'xsmm_upstream_avg': 78.6490625, 'xsmm_upstream_best': 77.942}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 0.9932218944497123, 'speedup_best': 0.9928445987339188, 'xsmm_local_avg': 122.81270833333336, 'xsmm_local_best': 122.425, 'xsmm_upstream_avg': 121.98027083333334, 'xsmm_upstream_best': 121.549}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 0.9920062318361418, 'speedup_best': 1.0004681501825785, 'xsmm_local_avg': 65.47027083333332, 'xsmm_local_best': 64.082, 'xsmm_upstream_avg': 64.94691666666664, 'xsmm_upstream_best': 64.112}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 0.9922433594007988, 'speedup_best': 0.9923716355277578, 'xsmm_local_avg': 187.37170833333332, 'xsmm_local_best': 187.065, 'xsmm_upstream_avg': 185.9183333333333, 'xsmm_upstream_best': 185.638}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'speedup_avg': 1.0091565091537655, 'speedup_best': 1.0082313608226947, 'xsmm_local_avg': 91.11687500000001, 'xsmm_local_best': 90.629, 'xsmm_upstream_avg': 91.95118750000002, 'xsmm_upstream_best': 91.375}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'speedup_avg': 0.9907396889616601, 'speedup_best': 0.9920482588428846, 'xsmm_local_avg': 110.2262291666667, 'xsmm_local_best': 109.41, 'xsmm_upstream_avg': 109.20550000000003, 'xsmm_upstream_best': 108.54}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.1_uniq_64.txt', 'speedup_avg': 1.7972859895824818, 'speedup_best': 1.7905629305324042, 'xsmm_local_avg': 100.65977083333331, 'xsmm_local_best': 99.586, 'xsmm_upstream_avg': 180.9143958333333, 'xsmm_upstream_best': 178.315}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.01_uniq_64.txt', 'speedup_avg': 4.090303977999458, 'speedup_best': 4.119624652455978, 'xsmm_local_avg': 44.05952083333333, 'xsmm_local_best': 43.16, 'xsmm_upstream_avg': 180.2168333333333, 'xsmm_upstream_best': 177.803}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.2_uniq_64.txt', 'speedup_avg': 1.1808308623752546, 'speedup_best': 1.165421844342708, 'xsmm_local_avg': 153.11200000000005, 'xsmm_local_best': 152.89999999999998, 'xsmm_upstream_avg': 180.79937500000003, 'xsmm_upstream_best': 178.193}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.3_uniq_64.txt', 'speedup_avg': 0.8277452554967554, 'speedup_best': 0.817977671976547, 'xsmm_local_avg': 218.87060416666665, 'xsmm_local_best': 218.649, 'xsmm_upstream_avg': 181.1691041666667, 'xsmm_upstream_best': 178.85000000000002}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.4_uniq_64.txt', 'speedup_avg': 0.6304117074665614, 'speedup_best': 0.622026625514547, 'xsmm_local_avg': 286.61481249999997, 'xsmm_local_best': 286.417, 'xsmm_upstream_avg': 180.68533333333332, 'xsmm_upstream_best': 178.159}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 2.3823169123948054, 'speedup_best': 2.359690662846379, 'xsmm_local_avg': 75.85166666666667, 'xsmm_local_best': 75.387, 'xsmm_upstream_avg': 180.70270833333333, 'xsmm_upstream_best': 177.89}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.5_uniq_64.txt', 'speedup_avg': 0.5106752192443972, 'speedup_best': 0.5035835180848591, 'xsmm_local_avg': 353.20410416666664, 'xsmm_local_best': 352.726, 'xsmm_upstream_avg': 180.37258333333338, 'xsmm_upstream_best': 177.627}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.15_uniq_64.txt', 'speedup_avg': 1.4702417266542753, 'speedup_best': 1.45053315846496, 'xsmm_local_avg': 123.03756249999999, 'xsmm_local_best': 122.75900000000001, 'xsmm_upstream_avg': 180.8949583333333, 'xsmm_upstream_best': 178.06600000000003}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.025_uniq_64.txt', 'speedup_avg': 2.8676682092235133, 'speedup_best': 2.8656608269998713, 'xsmm_local_avg': 62.96814583333333, 'xsmm_local_best': 62.104, 'xsmm_upstream_avg': 180.57175000000004, 'xsmm_upstream_best': 177.969}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.25_uniq_64.txt', 'speedup_avg': 0.9683221125053975, 'speedup_best': 0.9540027958244738, 'xsmm_local_avg': 186.98177083333334, 'xsmm_local_best': 186.707, 'xsmm_upstream_avg': 181.05858333333344, 'xsmm_upstream_best': 178.11900000000003}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.075_uniq_64.txt', 'speedup_avg': 2.0683023795213975, 'speedup_best': 2.0641917131199357, 'xsmm_local_avg': 87.38714583333332, 'xsmm_local_best': 87.005, 'xsmm_upstream_avg': 180.7430416666667, 'xsmm_upstream_best': 179.595}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.125_uniq_64.txt', 'speedup_avg': 1.6384950822501132, 'speedup_best': 1.629736325437164, 'xsmm_local_avg': 109.85927083333335, 'xsmm_local_best': 108.998, 'xsmm_upstream_avg': 180.003875, 'xsmm_upstream_best': 177.638}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_row/q_16/r_32_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0037120554655263, 'speedup_best': 0.9983029653447659, 'xsmm_local_avg': 34.54397916666668, 'xsmm_local_best': 33.588, 'xsmm_upstream_avg': 34.67220833333333, 'xsmm_upstream_best': 33.531}
