{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.036315063497852, 'speedup_best': 1.0340053013392856, 'xsmm_local_avg': 28.908458333333325, 'xsmm_local_best': 28.672, 'xsmm_upstream_avg': 29.95827083333333, 'xsmm_upstream_best': 29.647}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 0.9680248474210534, 'speedup_best': 0.9674937300640386, 'xsmm_local_avg': 41.39933333333334, 'xsmm_local_best': 41.069, 'xsmm_upstream_avg': 40.075583333333334, 'xsmm_upstream_best': 39.734}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9193580985253066, 'speedup_best': 0.920373590620968, 'xsmm_local_avg': 71.53745833333333, 'xsmm_local_best': 71.308, 'xsmm_upstream_avg': 65.76854166666668, 'xsmm_upstream_best': 65.63}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0031421999535612, 'speedup_best': 1.0018016811225345, 'xsmm_local_avg': 150.10714583333333, 'xsmm_local_best': 149.305, 'xsmm_upstream_avg': 150.57881250000005, 'xsmm_upstream_best': 149.574}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 0.9976256744413701, 'speedup_best': 0.9946237891820282, 'xsmm_local_avg': 365.37568749999997, 'xsmm_local_best': 363.081, 'xsmm_upstream_avg': 364.50816666666674, 'xsmm_upstream_best': 361.129}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 0.9938734906931288, 'speedup_best': 0.9792917439760146, 'xsmm_local_avg': 819.8523958333335, 'xsmm_local_best': 813.83, 'xsmm_upstream_avg': 814.8295625, 'xsmm_upstream_best': 796.977}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.0301232344580216, 'speedup_best': 1.023198100992663, 'xsmm_local_avg': 27.995416666666667, 'xsmm_local_best': 27.804, 'xsmm_upstream_avg': 28.83872916666667, 'xsmm_upstream_best': 28.449}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 0.973773023299749, 'speedup_best': 0.9755217791487352, 'xsmm_local_avg': 40.58162499999999, 'xsmm_local_best': 40.199, 'xsmm_upstream_avg': 39.517291666666665, 'xsmm_upstream_best': 39.215}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 0.9452791890728508, 'speedup_best': 0.9458261261392211, 'xsmm_local_avg': 69.06497916666665, 'xsmm_local_best': 68.797, 'xsmm_upstream_avg': 65.28568749999998, 'xsmm_upstream_best': 65.07}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 0.9675988833164519, 'speedup_best': 0.967014572666404, 'xsmm_local_avg': 153.4752916666666, 'xsmm_local_best': 152.34, 'xsmm_upstream_avg': 148.50252083333336, 'xsmm_upstream_best': 147.315}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.0817199162242404, 'speedup_best': 1.077373864259669, 'xsmm_local_avg': 353.9707291666667, 'xsmm_local_best': 351.86300000000006, 'xsmm_upstream_avg': 382.8971874999999, 'xsmm_upstream_best': 379.088}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'speedup_avg': 0.9964673088533761, 'speedup_best': 0.9789546243015385, 'xsmm_local_avg': 803.9609791666667, 'xsmm_local_best': 792.098, 'xsmm_upstream_avg': 801.1208333333335, 'xsmm_upstream_best': 775.428}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 0.9940937140850612, 'speedup_best': 0.9954813060763399, 'xsmm_local_avg': 46.51470833333332, 'xsmm_local_best': 46.031, 'xsmm_upstream_avg': 46.239979166666664, 'xsmm_upstream_best': 45.823}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.0306838002256085, 'speedup_best': 1.0338067031186715, 'xsmm_local_avg': 79.52554166666668, 'xsmm_local_best': 79.008, 'xsmm_upstream_avg': 81.96568749999999, 'xsmm_upstream_best': 81.679}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0224955138570098, 'speedup_best': 1.0148446947869068, 'xsmm_local_avg': 123.45887499999999, 'xsmm_local_best': 123.209, 'xsmm_upstream_avg': 126.23614583333334, 'xsmm_upstream_best': 125.038}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.0135744872035228, 'speedup_best': 1.0076239704696248, 'xsmm_local_avg': 170.13227083333337, 'xsmm_local_best': 169.859, 'xsmm_upstream_avg': 172.44172916666673, 'xsmm_upstream_best': 171.154}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 1.0456924958862523, 'speedup_best': 1.0419114622094232, 'xsmm_local_avg': 216.70225000000002, 'xsmm_local_best': 216.337, 'xsmm_upstream_avg': 226.60391666666666, 'xsmm_upstream_best': 225.404}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.0391859101433922, 'speedup_best': 1.0367885169733302, 'xsmm_local_avg': 270.194375, 'xsmm_local_best': 269.894, 'xsmm_upstream_avg': 280.7821875, 'xsmm_upstream_best': 279.823}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9328288387617087, 'speedup_best': 0.9335088302934753, 'xsmm_local_avg': 69.38462500000001, 'xsmm_local_best': 69.137, 'xsmm_upstream_avg': 64.72397916666664, 'xsmm_upstream_best': 64.54}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 1.0707475942908844, 'speedup_best': 1.0674150509895601, 'xsmm_local_avg': 99.54402083333336, 'xsmm_local_best': 99.236, 'xsmm_upstream_avg': 106.58652083333338, 'xsmm_upstream_best': 105.926}
