{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0097871840792259, 'speedup_best': 1.0102406218612168, 'xsmm_local_avg': 46.310562499999996, 'xsmm_local_best': 45.798, 'xsmm_upstream_avg': 46.76381249999999, 'xsmm_upstream_best': 46.267}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.0237380218142684, 'speedup_best': 1.0306176182953435, 'xsmm_local_avg': 80.52833333333334, 'xsmm_local_best': 79.758, 'xsmm_upstream_avg': 82.43991666666668, 'xsmm_upstream_best': 82.2}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0204648411539958, 'speedup_best': 1.0143373231070127, 'xsmm_local_avg': 124.04506250000001, 'xsmm_local_best': 123.733, 'xsmm_upstream_avg': 126.583625, 'xsmm_upstream_best': 125.507}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.012498498541108, 'speedup_best': 1.0066975724981297, 'xsmm_local_avg': 170.32045833333333, 'xsmm_local_best': 169.763, 'xsmm_upstream_avg': 172.44920833333336, 'xsmm_upstream_best': 170.9}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 1.0428556123680057, 'speedup_best': 1.039529225267737, 'xsmm_local_avg': 217.406375, 'xsmm_local_best': 217.004, 'xsmm_upstream_avg': 226.7234583333333, 'xsmm_upstream_best': 225.582}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 1.0375336658380994, 'speedup_best': 1.0319588888436377, 'xsmm_local_avg': 270.597625, 'xsmm_local_best': 270.097, 'xsmm_upstream_avg': 280.7541458333333, 'xsmm_upstream_best': 278.729}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9322211568128509, 'speedup_best': 0.9343412650688658, 'xsmm_local_avg': 70.15647916666667, 'xsmm_local_best': 69.846, 'xsmm_upstream_avg': 65.40135416666668, 'xsmm_upstream_best': 65.26}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 1.069357018158352, 'speedup_best': 1.0667195071786177, 'xsmm_local_avg': 100.01481249999996, 'xsmm_local_best': 99.671, 'xsmm_upstream_avg': 106.95154166666664, 'xsmm_upstream_best': 106.32100000000003}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 0.923409822355304, 'speedup_best': 0.9194750625953321, 'xsmm_local_avg': 69.74947916666667, 'xsmm_local_best': 69.494, 'xsmm_upstream_avg': 64.40735416666665, 'xsmm_upstream_best': 63.898}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 1.0163305549335921, 'speedup_best': 1.0034422347836798, 'xsmm_local_avg': 146.4522083333333, 'xsmm_local_best': 146.126, 'xsmm_upstream_avg': 148.84385416666666, 'xsmm_upstream_best': 146.629}
