{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.0014156662391633, 'speedup_best': 1.0629421367676402, 'xsmm_local_avg': 5.945375000000001, 'xsmm_local_best': 5.513, 'xsmm_upstream_avg': 5.9537916666666675, 'xsmm_upstream_best': 5.86}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0130353129521878, 'speedup_best': 1.0125574272588056, 'xsmm_local_avg': 3.3834375, 'xsmm_local_best': 3.265, 'xsmm_upstream_avg': 3.427541666666668, 'xsmm_upstream_best': 3.306}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9994734800199523, 'speedup_best': 1.0019525382997898, 'xsmm_local_avg': 6.7661250000000015, 'xsmm_local_best': 6.658, 'xsmm_upstream_avg': 6.762562500000001, 'xsmm_upstream_best': 6.671}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0034342879799925, 'speedup_best': 1.004545454545471, 'xsmm_local_avg': 3.4153124999999993, 'xsmm_local_best': 3.3, 'xsmm_upstream_avg': 3.427041666666667, 'xsmm_upstream_best': 3.3150000000000546}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0013084654176132, 'speedup_best': 1.0317713880014199, 'xsmm_local_avg': 5.891124999999996, 'xsmm_local_best': 5.634, 'xsmm_upstream_avg': 5.898833333333332, 'xsmm_upstream_best': 5.813}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9992014837336209, 'speedup_best': 1.0045252171374353, 'xsmm_local_avg': 13.827729166666666, 'xsmm_local_best': 13.701, 'xsmm_upstream_avg': 13.816687499999999, 'xsmm_upstream_best': 13.763}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.001805725769325, 'speedup_best': 0.9855208823375673, 'xsmm_local_avg': 19.82120833333334, 'xsmm_local_best': 19.131, 'xsmm_upstream_avg': 19.857, 'xsmm_upstream_best': 18.854}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0147591280914685, 'speedup_best': 1.0119766406018014, 'xsmm_local_avg': 30.915895833333337, 'xsmm_local_best': 30.309, 'xsmm_upstream_avg': 31.3721875, 'xsmm_upstream_best': 30.672}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.003317167245457, 'speedup_best': 0.9951321544019776, 'xsmm_local_avg': 27.04993750000001, 'xsmm_local_best': 26.295, 'xsmm_upstream_avg': 27.139666666666667, 'xsmm_upstream_best': 26.167}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 0.9981832905731768, 'speedup_best': 0.9942733188720173, 'xsmm_local_avg': 23.25633333333334, 'xsmm_local_best': 23.05, 'xsmm_upstream_avg': 23.21408333333333, 'xsmm_upstream_best': 22.918}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 0.9976664988744796, 'speedup_best': 1.0021576266107284, 'xsmm_local_avg': 16.927354166666667, 'xsmm_local_best': 16.685, 'xsmm_upstream_avg': 16.887854166666667, 'xsmm_upstream_best': 16.721}
