{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0041045173347845, 'speedup_best': 1.0026654070650156, 'xsmm_local_avg': 29.941604166666664, 'xsmm_local_best': 29.639, 'xsmm_upstream_avg': 30.0645, 'xsmm_upstream_best': 29.718}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 0.9922111154035574, 'speedup_best': 0.9949754827774075, 'xsmm_local_avg': 51.01554166666666, 'xsmm_local_best': 49.557000000000016, 'xsmm_upstream_avg': 50.61818749999998, 'xsmm_upstream_best': 49.308}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0161290365249875, 'speedup_best': 1.016062923758571, 'xsmm_local_avg': 78.75031249999999, 'xsmm_local_best': 78.317, 'xsmm_upstream_avg': 80.02047916666668, 'xsmm_upstream_best': 79.575}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.026817267813861, 'speedup_best': 1.0251321610331359, 'xsmm_local_avg': 163.03549999999998, 'xsmm_local_best': 162.302, 'xsmm_upstream_avg': 167.4076666666667, 'xsmm_upstream_best': 166.381}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.0042907356239181, 'speedup_best': 1.00776737802335, 'xsmm_local_avg': 398.4602291666667, 'xsmm_local_best': 395.629, 'xsmm_upstream_avg': 400.16991666666667, 'xsmm_upstream_best': 398.702}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.023979019432625, 'speedup_best': 1.0143550896273352, 'xsmm_local_avg': 872.3945833333332, 'xsmm_local_best': 856.212, 'xsmm_upstream_avg': 893.3137500000001, 'xsmm_upstream_best': 868.5029999999999}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.0014235940928762, 'speedup_best': 1.0047320270601845, 'xsmm_local_avg': 28.9466875, 'xsmm_local_best': 28.529, 'xsmm_upstream_avg': 28.98789583333333, 'xsmm_upstream_best': 28.664}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.0266088348255387, 'speedup_best': 1.0392386590203695, 'xsmm_local_avg': 49.828375, 'xsmm_local_best': 48.651, 'xsmm_upstream_avg': 51.15425, 'xsmm_upstream_best': 50.56}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.0011598115831453, 'speedup_best': 1.007197192838665, 'xsmm_local_avg': 79.32322916666668, 'xsmm_local_best': 78.086, 'xsmm_upstream_avg': 79.41522916666666, 'xsmm_upstream_best': 78.648}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.0418217027188552, 'speedup_best': 1.0404058028814995, 'xsmm_local_avg': 161.05124999999995, 'xsmm_local_best': 160.472, 'xsmm_upstream_avg': 167.7866875, 'xsmm_upstream_best': 166.956}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.0017076603620167, 'speedup_best': 0.9941645132429311, 'xsmm_local_avg': 401.2922291666667, 'xsmm_local_best': 400.13800000000003, 'xsmm_upstream_avg': 401.97749999999996, 'xsmm_upstream_best': 397.803}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'speedup_avg': 1.0434011386866862, 'speedup_best': 1.028123870949279, 'xsmm_local_avg': 848.2798750000001, 'xsmm_local_best': 838.6469999999999, 'xsmm_upstream_avg': 885.0961874999999, 'xsmm_upstream_best': 862.233}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 0.9984496400815961, 'speedup_best': 0.9855238707013237, 'xsmm_local_avg': 44.34454166666666, 'xsmm_local_best': 43.589, 'xsmm_upstream_avg': 44.27579166666666, 'xsmm_upstream_best': 42.958}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.0003886410578497, 'speedup_best': 0.9933837706634825, 'xsmm_local_avg': 102.76191666666665, 'xsmm_local_best': 102.173, 'xsmm_upstream_avg': 102.80185416666666, 'xsmm_upstream_best': 101.497}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0022687668485557, 'speedup_best': 1.0049108967414222, 'xsmm_local_avg': 155.44420833333334, 'xsmm_local_best': 154.147, 'xsmm_upstream_avg': 155.79687499999997, 'xsmm_upstream_best': 154.904}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.0020171815204684, 'speedup_best': 1.00128035850038, 'xsmm_local_avg': 200.53764583333336, 'xsmm_local_best': 199.944, 'xsmm_upstream_avg': 200.9421666666666, 'xsmm_upstream_best': 200.2}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 1.002535867740066, 'speedup_best': 1.001565866562003, 'xsmm_local_avg': 245.2645, 'xsmm_local_best': 244.59299999999996, 'xsmm_upstream_avg': 245.8864583333334, 'xsmm_upstream_best': 244.976}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 0.9976550378398338, 'speedup_best': 0.9977879628594559, 'xsmm_local_avg': 296.27343749999994, 'xsmm_local_best': 295.203, 'xsmm_upstream_avg': 295.57868750000006, 'xsmm_upstream_best': 294.54999999999995}
