{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 0.9997392272957533, 'speedup_best': 0.9958440530377993, 'xsmm_local_avg': 30.59816666666666, 'xsmm_local_best': 30.318, 'xsmm_upstream_avg': 30.590187500000003, 'xsmm_upstream_best': 30.192}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0049388951800298, 'speedup_best': 1.0041909014354817, 'xsmm_local_avg': 51.31039583333334, 'xsmm_local_best': 51.063, 'xsmm_upstream_avg': 51.56381250000001, 'xsmm_upstream_best': 51.277}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0256947120622864, 'speedup_best': 1.0305934294247499, 'xsmm_local_avg': 77.63108333333334, 'xsmm_local_best': 77.01, 'xsmm_upstream_avg': 79.62579166666669, 'xsmm_upstream_best': 79.366}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.1213681831306601, 'speedup_best': 1.1248659328252892, 'xsmm_local_avg': 142.9316458333333, 'xsmm_local_best': 141.72, 'xsmm_upstream_avg': 160.27899999999997, 'xsmm_upstream_best': 159.416}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.0486028634086413, 'speedup_best': 1.052108734651785, 'xsmm_local_avg': 376.5253125, 'xsmm_local_best': 372.356, 'xsmm_upstream_avg': 394.8255208333334, 'xsmm_upstream_best': 391.759}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.032781612562293, 'speedup_best': 1.010625597365757, 'xsmm_local_avg': 858.3133541666665, 'xsmm_local_best': 848.517, 'xsmm_upstream_avg': 886.4502500000003, 'xsmm_upstream_best': 857.533}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0114122947549165, 'speedup_best': 1.0109979449425261, 'xsmm_local_avg': 44.747062500000006, 'xsmm_local_best': 44.281, 'xsmm_upstream_avg': 45.25772916666668, 'xsmm_upstream_best': 44.768}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.034971161701394, 'speedup_best': 1.0361072566302498, 'xsmm_local_avg': 102.79660416666665, 'xsmm_local_best': 102.334, 'xsmm_upstream_avg': 106.39152083333333, 'xsmm_upstream_best': 106.029}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 0.9908886194864187, 'speedup_best': 0.9911308347221682, 'xsmm_local_avg': 155.3162916666667, 'xsmm_local_best': 154.806, 'xsmm_upstream_avg': 153.90114583333332, 'xsmm_upstream_best': 153.433}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 0.9918238544844208, 'speedup_best': 0.9921358902379459, 'xsmm_local_avg': 203.16725000000005, 'xsmm_local_best': 202.693, 'xsmm_upstream_avg': 201.506125, 'xsmm_upstream_best': 201.099}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 0.9933735380745781, 'speedup_best': 0.9942837205717091, 'xsmm_local_avg': 247.02725000000007, 'xsmm_local_best': 246.489, 'xsmm_upstream_avg': 245.3903333333334, 'xsmm_upstream_best': 245.08}
