{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0176187220637827, 'speedup_best': 1.0177517841960169, 'xsmm_local_avg': 77.82795833333334, 'xsmm_local_best': 77.626, 'xsmm_upstream_avg': 79.19918750000001, 'xsmm_upstream_best': 79.004}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 0.993172670664203, 'speedup_best': 0.9932295034709507, 'xsmm_local_avg': 128.6313125, 'xsmm_local_best': 128.351, 'xsmm_upstream_avg': 127.75310416666669, 'xsmm_upstream_best': 127.482}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 1.028970899391379, 'speedup_best': 1.0292819769274413, 'xsmm_local_avg': 63.76441666666667, 'xsmm_local_best': 63.452, 'xsmm_upstream_avg': 65.61172916666665, 'xsmm_upstream_best': 65.31}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 0.9926912912098621, 'speedup_best': 0.9927043561747829, 'xsmm_local_avg': 179.47766666666678, 'xsmm_local_best': 179.148, 'xsmm_upstream_avg': 178.16591666666667, 'xsmm_upstream_best': 177.841}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'speedup_avg': 1.0484734317224649, 'speedup_best': 1.049201946250739, 'xsmm_local_avg': 88.20983333333332, 'xsmm_local_best': 87.964, 'xsmm_upstream_avg': 92.48566666666666, 'xsmm_upstream_best': 92.292}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'speedup_avg': 0.9931506223653912, 'speedup_best': 0.9949053166043503, 'xsmm_local_avg': 116.3153125, 'xsmm_local_best': 115.807, 'xsmm_upstream_avg': 115.51862499999997, 'xsmm_upstream_best': 115.217}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_32_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0007383548912188, 'speedup_best': 0.9900838621940162, 'xsmm_local_avg': 35.439145833333335, 'xsmm_local_best': 35.296, 'xsmm_upstream_avg': 35.46531249999999, 'xsmm_upstream_best': 34.946}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 64, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_row/q_16/r_64_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.019159736357706, 'speedup_best': 1.0193969769919886, 'xsmm_local_avg': 50.90862500000001, 'xsmm_local_best': 50.678, 'xsmm_upstream_avg': 51.88402083333333, 'xsmm_upstream_best': 51.661}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.053624979453346, 'speedup_best': 1.0498565137469087, 'xsmm_local_avg': 75.79295833333333, 'xsmm_local_best': 75.617, 'xsmm_upstream_avg': 79.85735416666665, 'xsmm_upstream_best': 79.387}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 256, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_256_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0288417053188659, 'speedup_best': 1.0282492992788081, 'xsmm_local_avg': 127.16683333333332, 'xsmm_local_best': 127.012, 'xsmm_upstream_avg': 130.83454166666664, 'xsmm_upstream_best': 130.6}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 512, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_512_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9956611107226179, 'speedup_best': 0.995225319047535, 'xsmm_local_avg': 227.01662500000006, 'xsmm_local_best': 226.612, 'xsmm_upstream_avg': 226.03162500000008, 'xsmm_upstream_best': 225.53}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 1024, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats_small/vary_row/q_16/r_1024_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9926798016607924, 'speedup_best': 0.9924277038584729, 'xsmm_local_avg': 435.9114583333333, 'xsmm_local_best': 435.535, 'xsmm_upstream_avg': 432.7205000000001, 'xsmm_upstream_best': 432.237}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_unique/r_128_c_128_p_0.05_uniq_8.txt', 'speedup_avg': 1.0329790484327552, 'speedup_best': 1.0336869508623494, 'xsmm_local_avg': 77.05270833333337, 'xsmm_local_best': 76.825, 'xsmm_upstream_avg': 79.59383333333334, 'xsmm_upstream_best': 79.413}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_unique/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0308738844941523, 'speedup_best': 1.0312176031515654, 'xsmm_local_avg': 77.37054166666667, 'xsmm_local_best': 77.168, 'xsmm_upstream_avg': 79.75927083333333, 'xsmm_upstream_best': 79.577}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_unique/r_128_c_128_p_0.05_uniq_24.txt', 'speedup_avg': 1.0408166170754969, 'speedup_best': 1.0408461649916358, 'xsmm_local_avg': 76.09441666666667, 'xsmm_local_best': 75.919, 'xsmm_upstream_avg': 79.20033333333332, 'xsmm_upstream_best': 79.02}
Average speedup (best) of local over upstream 1.021882406277092
Average speedup (iqr avg) of local over upstream 1.0231238681357642
