{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0090974131787065, 'speedup_best': 1.0066790722403136, 'xsmm_local_avg': 30.313104166666665, 'xsmm_local_best': 30.094, 'xsmm_upstream_avg': 30.588875, 'xsmm_upstream_best': 30.295}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0164154156225587, 'speedup_best': 1.0163749405987645, 'xsmm_local_avg': 50.639645833333326, 'xsmm_local_best': 50.504, 'xsmm_upstream_avg': 51.47091666666666, 'xsmm_upstream_best': 51.331}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0141129502458337, 'speedup_best': 1.0479013454098944, 'xsmm_local_avg': 78.60983333333336, 'xsmm_local_best': 75.739, 'xsmm_upstream_avg': 79.71924999999997, 'xsmm_upstream_best': 79.367}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0111630029104877, 'speedup_best': 1.1142284140057381, 'xsmm_local_avg': 155.15725000000006, 'xsmm_local_best': 140.114, 'xsmm_upstream_avg': 156.8892708333333, 'xsmm_upstream_best': 156.119}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.0923706493801217, 'speedup_best': 1.1043275422879877, 'xsmm_local_avg': 366.4635833333334, 'xsmm_local_best': 349.39, 'xsmm_upstream_avg': 400.3140624999998, 'xsmm_upstream_best': 385.841}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0182121948470093, 'speedup_best': 1.0140868253041433, 'xsmm_local_avg': 885.0743125000002, 'xsmm_local_best': 832.338, 'xsmm_upstream_avg': 901.1934583333331, 'xsmm_upstream_best': 844.063}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0148065087237095, 'speedup_best': 1.0132713402248004, 'xsmm_local_avg': 44.515895833333325, 'xsmm_local_best': 44.306, 'xsmm_upstream_avg': 45.17502083333332, 'xsmm_upstream_best': 44.894}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.0355690692696404, 'speedup_best': 1.035627895133727, 'xsmm_local_avg': 102.31033333333335, 'xsmm_local_best': 102.111, 'xsmm_upstream_avg': 105.94941666666669, 'xsmm_upstream_best': 105.749}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0204837104982412, 'speedup_best': 0.9935925647862893, 'xsmm_local_avg': 156.4210416666667, 'xsmm_local_best': 154.508, 'xsmm_upstream_avg': 159.62512500000003, 'xsmm_upstream_best': 153.518}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 0.9781985693007231, 'speedup_best': 0.9941125832401573, 'xsmm_local_avg': 205.802625, 'xsmm_local_best': 202.126, 'xsmm_upstream_avg': 201.31583333333325, 'xsmm_upstream_best': 200.93600000000004}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 0.9621668159095269, 'speedup_best': 0.9934010790127561, 'xsmm_local_avg': 262.575375, 'xsmm_local_best': 246.707, 'xsmm_upstream_avg': 252.6413125, 'xsmm_upstream_best': 245.079}
